number,question,choice_a,choice_b,choice_c,choice_d,answer_key,correct_choice,answer_key_type,question_type,choice_e,context,table,problem_type
12,What is the distance in the climb?,100 NM,117 NM,99 SM,129 SM,A,100 NM,Scenario- Dist,multiple_choice,,Use the following scenario for the next five questions: You're flying from Denver (5434') to Chicago (680') which is 915 SM on a TC of 093°. Variation is 5° east. The performance of the jet aircraft and winds aloft are: [[TABLE]],"{""type"":""table"",""headers"":[""Section"",""Item"",""Value""],""rows"":[[""Performance"",""Climb"",""315 KTAS at 1,800 FPM up to FL350""],[""Performance"",""Cruise"",""Mach .78 (450 KTAS), burning 5,000 LBS per hour""],[""Performance"",""Descent"",""300 KTAS at 1650 FPM""],[""Winds Aloft"",""Climb"",""277° at 48 knots""],[""Winds Aloft"",""Cruise"",""262° at 84 knots""],[""Winds Aloft"",""Descent"",""320° at 33 knots""]]}",Climb/Cruise/Descent Planning
13,What's the magnetic heading in cruise?,090°,101°,087°,111°,A,090°,Scenario- MH,multiple_choice,,Use the following scenario for the next five questions: You're flying from Denver (5434') to Chicago (680') which is 915 SM on a TC of 093°. Variation is 5° east. The performance of the jet aircraft and winds aloft are: [[TABLE]],"{""type"":""table"",""headers"":[""Section"",""Item"",""Value""],""rows"":[[""Performance"",""Climb"",""315 KTAS at 1,800 FPM up to FL350""],[""Performance"",""Cruise"",""Mach .78 (450 KTAS), burning 5,000 LBS per hour""],[""Performance"",""Descent"",""300 KTAS at 1650 FPM""],[""Winds Aloft"",""Climb"",""277° at 48 knots""],[""Winds Aloft"",""Cruise"",""262° at 84 knots""],[""Winds Aloft"",""Descent"",""320° at 33 knots""]]}",Climb/Cruise/Descent Planning
14,How long is the entire flight?,1 hour and 21 minutes,1 hour and 44 minutes,1 hour and 57 minutes,1 hour and 14 minutes,B,1 hour and 44 minutes,Scenario- Time,multiple_choice,,Use the following scenario for the next five questions: You're flying from Denver (5434') to Chicago (680') which is 915 SM on a TC of 093°. Variation is 5° east. The performance of the jet aircraft and winds aloft are: [[TABLE]],"{""type"":""table"",""headers"":[""Section"",""Item"",""Value""],""rows"":[[""Performance"",""Climb"",""315 KTAS at 1,800 FPM up to FL350""],[""Performance"",""Cruise"",""Mach .78 (450 KTAS), burning 5,000 LBS per hour""],[""Performance"",""Descent"",""300 KTAS at 1650 FPM""],[""Winds Aloft"",""Climb"",""277° at 48 knots""],[""Winds Aloft"",""Cruise"",""262° at 84 knots""],[""Winds Aloft"",""Descent"",""320° at 33 knots""]]}",Climb/Cruise/Descent Planning
15,How far is the equal time point from Denver?,325 NM,352 NM,397 NM,404 NM,A,325 NM,Scenario- ETP,multiple_choice,,Use the following scenario for the next five questions: You're flying from Denver (5434') to Chicago (680') which is 915 SM on a TC of 093°. Variation is 5° east. The performance of the jet aircraft and winds aloft are: [[TABLE]],"{""type"":""table"",""headers"":[""Section"",""Item"",""Value""],""rows"":[[""Performance"",""Climb"",""315 KTAS at 1,800 FPM up to FL350""],[""Performance"",""Cruise"",""Mach .78 (450 KTAS), burning 5,000 LBS per hour""],[""Performance"",""Descent"",""300 KTAS at 1650 FPM""],[""Winds Aloft"",""Climb"",""277° at 48 knots""],[""Winds Aloft"",""Cruise"",""262° at 84 knots""],[""Winds Aloft"",""Descent"",""320° at 33 knots""]]}",Equal Time Point
16,"Climbing out of an airport in Arizona (Elev. 2000') you are maintaining 110 KIAS and need to achieve 510'/NM. In calm winds, what is the required climb rate? (Outside air temperature is 90°F and altimeter setting is 30.04""Hg).",910 FPM,995 FPM,"1,035 FPM",880 FPM,B,995 FPM,Climb Rate,multiple_choice,,,,Climb Gradient
17,"After a flight, a pilot sees they just reached 3,000 hours total time in their logbook. How many weeks of time airborne is that equivalent to?",5.6,8.7,17.9,20.8,C,17.9,Time Conversion,multiple_choice,,,,Conversions
18,"Approximately 8.2 NM from the departure end of the runway, there is a ski resort perched atop a 4,000-foot mountain. Using the following conditions, what will your required climb performance be upon reaching the departure end at 50' to clear the resort by 1,000 feet? [[TABLE]]",510 FPM,580 FPM,680 FPM,720 FPM,A,510 FPM,Climb Rate,multiple_choice,,,"{""type"":""table"",""headers"":[""Item"",""Value""],""rows"":[[""Runway 35L"",""Elev. 1124', Length 10,526', Magnetic Heading 355°. Wet.""],[""ATIS Conditions"",""310° at 15 knots, Altimeter 29.55\""Hg, OAT -22°C""],[""Rotation speed"",""75 KIAS""],[""Climb"",""80 KIAS – use airport pressure altitude""],[""Takeoff weight"",""5,800 pounds""]]}",Takeoff/Landing Performance
19,"The jet stream at FL310 (ISA-15°C) is 120° at 105 knots, whereas at FL270 (ISA-11°C) it is 160° at 143 knots. On a true course of 210° and 450 KIAS, what is the difference in time enroute if your destination is 1,817 KM away?",15 minutes,20 minutes,25 minutes,30 minutes,B,20 minutes,"Time, Speed, Distance",multiple_choice,,,,Airspeed / Mach
20,"The Goodyear blimp contains nearly 300,000 cubic feet of helium. How many cubic meters does that equate to?","8,500 m³","11,100 m³","27,900 m³","30,400 m³",A,"8,500 m³",Volume Conversion,multiple_choice,,,,Conversions
21,Helium weighs 5.171 grams per cubic foot. How many pounds of helium are inside the Goodyear blimp?,155,"1,550","2,900","3,400",D,"3,400",Weight Conversion,multiple_choice,,"Referenced question 20: The Goodyear blimp contains nearly 300,000 cubic feet of helium. How many cubic meters does that equate to?",,Conversions
22,"You spend $404.67 Canadian Dollars to fill your aircraft with 200 liters of gas. If the conversion rate is 1.39 CAN:1 USD, what is the fuel price in USD per gallon?",$5.00,$5.25,$5.50,$5.75,C,$5.50,Conversion,multiple_choice,,,,Conversions
23,"An aerobatic warbird weighs 5,400 pounds with a CG of 142.2"". During its routine it burns 12 gallons of smoke oil (8lbs/gal) at a CG of 10"". Additionally, it burns 35 GPH of 100LL at a CG of 148"". The routine is 12 minutes long. What is the landing CG?","142.43""","144.56""","142.15""","144.47""",B,"144.56""",CG Change Used 6.7 pounds per gallon 100LL,multiple_choice,,,,Weight Change
24,What is the distance in nautical miles between the following two coordinates? [[NEXT_LINE]]A = N44° 44' 46.98'' W93° 5' 43.10'' [[NEXT_LINE]]B = N44° 52' 57.09'' W93° 12' 42.54'',7.9 NM,8.8 NM,9.6 NM,11.1 NM,C,9.6 NM,Distance between coordinates,multiple_choice,,,,Geometry / Trigonometry
25,Reference the previous question. What is the true course from point A to point B?,315°,328°,335°,343°,B,328°,TC between coordinates,multiple_choice,,Referenced question 24: What is the distance in nautical miles between the following two coordinates? [[NEXT_LINE]]A = N44° 44' 46.98'' W93° 5' 43.10'' [[NEXT_LINE]]B = N44° 52' 57.09'' W93° 12' 42.54'',,Courses and Headings
26,"You are flying from Airport A to Airport B, a distance of 720 NM, on a course of 090°. The True Airspeed is 160 knots. Winds aloft are 090° at 40 knots. Fuel burn is 12 GPH and usable fuel is 72 gallons. Your filed alternate is 100 NM beyond airport B on the same course. At the ETP, do you have enough fuel to continue to Airport B and then proceed to the alternate with a required 45-minute reserve?","Yes, with more than your required reserve","Yes, but landing at your alternate with less than required reserve","No, you can not reach airport B","No, you can reach airport B but not the alternate with reserve",D,"No, you can reach airport B but not the alternate with reserve",ETP,multiple_choice,,,,Equal Time Point
27,What distance from airport B would the fuel required be the same to continue to airport B or to return back to airport A?,832 KM,391 SM,"1,425,600 feet",270 NM,D,270 NM,ETP w/ conversion,multiple_choice,,"Referenced question 26: You are flying from Airport A to Airport B, a distance of 720 NM, on a course of 090°. The True Airspeed is 160 knots. Winds aloft are 090° at 40 knots. Fuel burn is 12 GPH and usable fuel is 72 gallons. Your filed alternate is 100 NM beyond airport B on the same course. At the ETP, do you have enough fuel to continue to Airport B and then proceed to the alternate with a required 45-minute reserve?",,Equal Time Point
28,Your two 34-gallon fuel tanks were filled with water (8.35 LBS/GAL) instead of jet-A (6.7 LBS/GAL). How much more would the aircraft weigh?,"36,320 grams","1,580 ounces",56 pounds,51 kilograms,D,51 kilograms,Weight Conversion,multiple_choice,,,,Weight Change
29,"You've taken off in a King Air 200 with a takeoff weight of 12,500 LBS and abruptly hit a patch of moderate turbulence. The two passengers in the aft-facing seats (214"") fall into the next row of seats (253""). If the C.G. on takeoff was 192.3"", what is it now if each passenger weighed 200 LBS?","193.55""","192.92""","191.67""","191.05""",A,"193.55""",CG Change,multiple_choice,,,,Weight Change
30,Distractions in the cabin have left you 4 NM off course after flying for 30 NM. How many degrees would you need to turn to parallel your original course?,2°,4°,6°,8°,D,8°,Off-course correction,multiple_choice,,,,Off-Course
31,"Reference the previous question. If you have 68 NM remaining in your flight, how many additional degrees would you need to turn if you wanted to intercept your original course 20 NM before arriving at your destination?",3.5°,5°,9°,13°,B,5°,Off-course correction,multiple_choice,,Referenced question 30: Distractions in the cabin have left you 4 NM off course after flying for 30 NM. How many degrees would you need to turn to parallel your original course?,,Off-Course
32,"You are flying on a magnetic course of 220° with an airspeed of 510 KTAS. The preflight weather briefing shows textual winds aloft forecast at your altitude of 34,000' are 651553. The magnetic variation in the area is 15°E. If that forecast is true, what is your magnetic heading?",192°,237°,212°,207°,D,207°,Wind Correction,multiple_choice,,,,Wind Correction
33,"Referring to the previous question, what is your effective true airspeed?",487 knots,503 knots,510 knots,497 knots,A,487 knots,Effective TAS,multiple_choice,,"Referenced question 32: You are flying on a magnetic course of 220° with an airspeed of 510 KTAS. The preflight weather briefing shows textual winds aloft forecast at your altitude of 34,000' are 651553. The magnetic variation in the area is 15°E. If that forecast is true, what is your magnetic heading?",,Wind Correction
34,The distance from the hangar to your airplane is 650 meters. How many miles do you walk if you make 8 round trips in the day?,2.81 SM,3.23 SM,5.62 SM,6.46 SM,D,6.46 SM,Length Conversion,multiple_choice,,,,Conversions
35,"Reference the previous question. If you are sitting in the hangar studying and are called to get out to the airplane right away, how fast do you need to run to be there in 2 minutes?",8.78 MPH,9.63 MPH,10.53 MPH,12.12 MPH,D,12.12 MPH,"Time, Speed, Distance",multiple_choice,,Referenced question 34: The distance from the hangar to your airplane is 650 meters. How many miles do you walk if you make 8 round trips in the day?,,Time Problems with Hours/Min/Sec
36,"When you start your engine in KSAT, you have 18.7 quarts of oil. Upon entering the pattern in KMSP, you are indicating 9.3 quarts. If the flight is 167 minutes long, what is the rate that you've been burning oil?",0.84 GPH,0.56 GPH,1.4 GPH,0.35 GPH,A,0.84 GPH,Oil consumption rate,multiple_choice,,,,Fuel Burn / Fuel Required
37,"ATC tells you to enter a five-mile final and to slow to your final approach speed. At 5 nm you are at 56 mph, the wind is currently a direct headwind at 39 knots. How long do you spend on final?",17 minutes,29 minutes,31 minutes,52 minutes,C,31 minutes,"Time, Speed, Distance",multiple_choice,,,,Time Problems with Hours/Min/Sec
38,Convert 350 cm into yards.,3.8,16.2,24.7,45.9,A,3.8,Length Conversion,multiple_choice,,,,Conversions
39,"Convert 2,280 feet per minute into statute miles per hour.",16 MPH,26 MPH,36 MPH,46 MPH,B,26 MPH,Rate Conversion,multiple_choice,,,,Conversions
40,"You are attempting to build an experimental amphibious aircraft with two cylindrical pontoons as floats. You want the total buoyancy to exceed the maximum structural weight by 75%. For every cubic foot of pontoon, 62.4lbs of buoyant force is created. The pontoon dimensions are 18"" in diameter and 20 ft long. What is the maximum structural weight?","2,518","3,306","4,408","6,612",A,"2,518",Buoyancy to Weight ratio,multiple_choice,,,,Ratios / Proportions
