number,question,choice_a,choice_b,choice_c,choice_d,answer_key,correct_choice,answer_key_type,question_type,choice_e,context,table,problem_type
11,"While obtaining your weather briefing for your first solo flight, you consider wind limitations given by your instructor. You have an endorsement up to 7 knots of crosswind and 3 knots of tailwind. The METAR reports the wind as 060° at 13 knots, and the variation is 12°W. The following runways are available: 10R, 17, 28L. Which runway will be within your limitations?",10R,17,28L,"None of the runways, try again tomorrow.",A,10R,Wind component,multiple_choice,,,,Wind Correction
12,"The jet stream at FL330 (ISA+10°C) is 120° at 70 knots, whereas at FL290 (ISA+12°C), it is 180° at 105 knots. On a true course of 195° and an indicated 280 knots, how much faster will you arrive at your destination (1,100 SM away) if you cruised at FL330 compared to FL290?",50 minutes,30 minutes,45 minutes,40 minutes,D,40 minutes,Time-GS comparison; IAS-TAS-Wind,multiple_choice,,,,Wind Correction
13,"At 6 NM, a Diamond Twin Star is beginning the descent and will maintain a final approach ground speed of 110 knots. At 3 NM, a Piper Warrior is maintaining a ground speed of 75 knots. How far out on final will the Twin Star be when the Warrior crosses the threshold?",1.6 NM,3.5 SM,3 NM,4.5 NM,A,1.6 NM,Converging rates,multiple_choice,,,,Overtaking Aircraft
14,"What is the density altitude at 5,500' indicated, with pressure at 1010 Mb and temperature of -15°F?","1,200'","1,800'","2,600'","3,500'",B,"1,800'",Density Altitude,multiple_choice,,,,Miscellaneous
15,"You're out on your commercial pilot checkride and there is zero wind! You complete your steep spiral with three perfectly circular turns. After your clean pass, you want to calculate the constant radius you kept during the maneuver. You know you descended 4500 feet at 1400 feet per minute. With a true airspeed of 95 knots, what was the radius of the turns?","3,300 feet","1,400 feet","1,650 feet","2,500 feet",C,"1,650 feet",Radius of turn; GS-time-distance,multiple_choice,,,,Radius of Action
16,"On your circular E6B, the distance from the center grommet to the index is 6.5 cm. Assuming you need to spin the wheel three and a half rotations per question, how far does the index travel over a full 40-question Computer Accuracy test?","2,251 centimeters",188 feet,643 inches,0.37 kilometers,B,188 feet,Length,multiple_choice,,,,Multiplication
17,"A Boeing 747-400 (4-engine jet) burns 3,200 pounds of Jet-A per hour per operating engine and travels at 504 KTAS. Upon losing an engine, speed is reduced by 120 knots, and fuel consumption in the operating engines must increase by 20% to account for lost thrust. If an engine is lost 3.5 hours into your 7500 nm flight, how much will the actual landing weight differ from the planned landing weight?","26,500 kilograms lighter",13.29 metric tons lighter,"26,500 pounds lighter","12,000 kilograms heavier",C,"26,500 pounds lighter",Fuel burn rate; compare rates,multiple_choice,,,,Weight Change
18,"You know that a Boeing 737's hydraulic system is pressurized to a maximum of 3500 psi when all four pumps are operating. If the piston within the hydraulic cylinder has a diameter of 9 inches, how much hydraulic force can this system output?","222,500 pounds","445,000 pounds","667,500 pounds","890,000 pounds",A,"222,500 pounds",Multiplication Area of circle,multiple_choice,,,,Multiplication
19,How many kilograms is equivalent to 40% of three fully loaded 60-pound pallets?,72.0,49.1,32.7,36.0,C,32.7,Conversion LB-KG,multiple_choice,,,,Conversions
20,"After upgrading to captain at your first airline job, you decide that it is time to have a little fun and get your tailwheel endorsement in a Cessna 120. While in the pattern, you look at your airspeed indicator which reads 63 miles per hour. How fast is that in knots?",72 knots,55 knots,101 knots,68 knots,B,55 knots,Conversion Airspeed,multiple_choice,,,,Conversions
21,"You are currently flying at 6,500 feet, and your destination airport is 15 nautical miles away at an elevation of 1,750 feet. If you start your descent now at 550 fpm, what ground speed should you fly at to maintain a steady descent to your destination?",76 kts,104 mph,54 kts,193 km/hr,D,193 km/hr,Descent Rate,multiple_choice,,,,Division
22,"Your de Havilland Tiger Moth is currently at a CG of 78 inches and weighing 1,375 pounds, but you decide to move from the front seat to the rear seat. You weigh 192 pounds, and the rear seat is located 91 cm further back than the front seat. What is your new CG after you move?",83 cm,90 inches,90 cm,83 inches,D,83 inches,Weight & Balance Weight Shift,multiple_choice,,,,Weight Shift
23,"After landing at a Canadian airport during your attempt to circumnavigate the globe, you decide to fill up your fuel tanks. You know that your tanks currently hold 5 gallons out of a 68-gallon maximum capacity, and you prepay at the FBO to fill the rest. After fueling, you start the engine and notice that your fuel gauge is not indicating full tanks, and you realize that you've accidentally paid for 63 liters of fuel instead of 63 gallons. Knowing this, what percentage of the maximum capacity are your tanks currently at?",24%,28%,32%,36%,C,32%,Conversion Fuel,multiple_choice,,,,Conversions
24,"Your aircraft has a maximum tire speed limitation of 150 mph groundspeed. The airport elevation is 2800', the altimeter setting is 30.21, and the temperature is 19°C. If you touchdown at 119 KIAS, what is the maximum tailwind which will allow you to land without exceeding the tire speed limit?",13 kts,10 kts,7 kts,3 kts,D,3 kts,TAS-IAS-ALT,multiple_choice,,,,Wind Correction
25,"Your aircraft is loaded to 2976 LBS with a CG of 62.9"". You fly for 3 hours and 24 minutes, burn 17 gph and the fuel arm is 73"". What is your landing CG?","61.6""","61.9""","62.7""","64.2""",A,"61.6""",Weight & Balance; Fuel burn,multiple_choice,,,,Weight Change
26,"Your flight is 218 nm long on a true course of 197°, and you plan to fly at 122 KTAS while burning 9.8 GPH. If the winds aloft are 220° at 27 kts, how many pounds of fuel do you need to carry to land with a 30-minute reserve?",133 LBS,147 LBS,153 LBS,162 LBS,D,162 LBS,Trip Planning Fuel burn-GS-Distance,multiple_choice,,,,Wind Correction
27,"After 83 nm of your 178 nm flight, you notice you are 2.4 nm left of course. If you have been flying a compass heading of 028°, which heading should you fly to intercept your original course at the destination?",030°,031°,032°,033°,B,031°,Off-course Correction,multiple_choice,,,,Off-Course
28,"Your performance chart instructs you to add 12% to the takeoff ground roll for every 2 percent of runway slope. In current weather conditions, the chart indicates a takeoff ground roll of 827'. If the runway is 5,500' long, and the elevation differs by 240' between each end, what will your takeoff ground roll be?",896',956',976',1043',B,956',Multiplication Takeoff Distance Factors,multiple_choice,,,,Multiplication
29,"You are cruising at 6,500' MSL, the altimeter setting is 29.56""Hg, and the temperature is ISA -12°C. If your indicated airspeed is 129 mph, what is your Mach number?",M0.177,M0.191,M0.209,M0.221,B,M0.191,Mach-IAS-ALT,multiple_choice,,,,Miscellaneous
30,"An aircraft DME (which is a slant range) shows 4.8 nm. If the aircraft is at 15,000' MSL and the station is at sea level, what is the horizontal distance between them?",3.87 nm,4.12 nm,4.43 nm,4.68 nm,B,4.12 nm,Right Triangle Math,multiple_choice,,,,Distance to VOR
31,"You are flying an approach to runway 22 at 73 KIAS, descending through 900' MSL, and the temperature is 84°F. Winds are 180° at 14 kts, and the altimeter setting is 29.97""Hg. If you are descending at 650 FPM to stay on the glideslope, what is the descent angle?",4.40°,4.85°,5.65°,6.70°,C,5.65°,Descent Rate; TAS conversion,multiple_choice,,,,Climb Gradient
32,"You depart on a cross-country flight at 0917 local time. Your flight is 128 nm on a true course of 028° and you will fly at 149 KTAS while burning 19.5 GPH. If the winds aloft are 170° at 23 kts, at what local time will the time to continue to the destination equal the time to return to the departure point?",09:37,09:40,09:43,09:50,A,09:37,Equal Time Point,multiple_choice,,,,Equal Time Point
33,"Your new electric airplane has a 90 Amp-Hour battery, and the engine draws 15 amps during cruise flight. The solar panels on the wings produce 2 amps in full sunlight which directly reduces the engine's draw from the battery. If it cruises at 108 mph TAS, how much does the range increase when flying in full sunlight compared to flying in the dark? Assume no power reserve.",86 nm,95 nm,109 nm,140 nm,A,86 nm,Range comparison; electrical power rate,multiple_choice,,,,Radius of Action
34,"You are at an altitude of 7,000' and lose your engine. There is an airport a few miles ahead with an elevation of 1,640'. You pitch for best glide and your GPS shows a ground speed of 75 kts. Your vertical speed indicator shows -1,350. How far can you glide?","39,300 feet",7.98 kilometers,6.1 nautical miles,"10,050 yards",D,"10,050 yards",Descent Rate,multiple_choice,,,,Division
35,"You're hungry and trying to determine the best pizza deal. A Medium 12"" diameter pizza is $14.99 and a Large 14"" diameter pizza is $18.99. How much bigger is the large pizza?",17%,21%,26%,36%,D,36%,Diameter comparison,multiple_choice,,,,Multiplication
36,"Reference the previous question. Since math is your specialty, what is the percentage difference in price per square inch?",Medium is 7.5% more expensive than the Large,Medium is 7% more expensive than the Large,Medium is 19% more expensive than the Large,Large is 21% more expensive than the Medium,A,Medium is 7.5% more expensive than the Large,Area of a circle comparison,multiple_choice,,"Referenced question 35: You're hungry and trying to determine the best pizza deal. A Medium 12"" diameter pizza is $14.99 and a Large 14"" diameter pizza is $18.99. How much bigger is the large pizza?",,Division
37,"You absolutely love shrimp so you purchase a rather large cooler which weighs 92.8 pounds to fill with shrimp. You add three 20-pound bags of ice and a whopping 293 pounds of shrimp. Once loaded into your airplane, which now weighs 2,450 pounds, you realize you are 3 inches aft of your CG limit. How many inches forward must you move the cooler?",17.2 inches,25.5 inches,18.3 inches,16.5 inches,D,16.5 inches,Weight & Balance Weight Shift,multiple_choice,,,,Weight Shift
38,Convert the climb gradient of 255 feet/nm into meters/km.,138,78,42,29,C,42,Conversion Climb Gradient,multiple_choice,,,,Climb Gradient
39,"What wind correction angle is necessary given the following: Winds aloft are 140° at 35 knots, true course is 220°, true airspeed is 88 knots.",18° Left,23° Left,14° Right,25° Right,B,23° Left,Wind Correction Angle,multiple_choice,,,,Wind Correction
40,How many quarts is equivalent to 55 Liters?,58.1,83.2,36.3,14.5,A,58.1,Conversion Volume,multiple_choice,,,,Conversions
