number,question,choice_a,choice_b,choice_c,choice_d,answer_key,correct_choice,answer_key_type,question_type,choice_e,context,table
16,"In the previous problem, what is your crosswind component?",4 knots,6 knots,8 knots,11 knots,C,8 knots,,multiple_choice,,"Referenced question 15: You are 136 NM due east of the EDY VORTAC. You want to fly over Uncle Buck's house which is 83 km from EDY on the 270° radial. If you want to burn off exactly 28 liters of fuel enroute and your aircraft burns 5.6 Imperial gallons per hour, at what indicated airspeed should you fly? Winds are 120@17 kts (m agnetic), OAT is 68°F and pressure altitude is 6700 ft.",
17,"You have an indicated temperature of -30°C. The temp probe's CT is 1.0, pressure altitude is 25,000 ft. and the Mach meter indicates you are at Mach 0.58. What should your airspeed indicator be indicating?",138 knots,185 knots,234 knots,240 knots,D,240 knots,,multiple_choice,,,
18,"In the previous problem, what is your TAS?",226 knots,340 knots,351 knots,167 knots,B,340 knots,,multiple_choice,,"Referenced question 17: You have an indicated temperature of -30°C. The temp probe's CT is 1.0, pressure altitude is 25,000 ft. and the Mach meter indicates you are at Mach 0.58. What should your airspeed indicator be indicating?",
19,"You and your buddy Roy are each taking an airplane for a trip to get some lunch at an airport 230 NM away. What a perfect opportunity to test the range of your new pocket-size emergency transceiver. You have a TAS of 108 knots and Roy's TAS is 161 knots. The useable range for your transceiver is listed at 35 NM. Assuming you both leave the airport at the same time, how far will you fly before you should exceed the transceiver's range? (Assume calm wind)",106 NM,71 NM,40 NM,19 NM,B,71 NM,,multiple_choice,,,
20,How far was Roy from the destination when you actually lost contact with him?,108 NM,121 NM,82 NM,148 NM,A,108 NM,,multiple_choice,,"Referenced question 19: You and your buddy Roy are each taking an airplane for a trip to get some lunch at an airport 230 NM away. What a perfect opportunity to test the range of your new pocket-size emergency transceiver. You have a TAS of 108 knots and Roy's TAS is 161 knots. The useable range for your transceiver is listed at 35 NM. Assuming you both leave the airport at the same time, how far will you fly before you should exceed the transceiver's range? (Assume calm wind) [[DIVIDER]] (Refer to previous problem) It turns out that you and Roy were actually 40 NM apart before contact was lost.",
21,Which cruising altitude will give you the greatest radius of action without using your day VFR reserve?,3500 ft.,4500 ft.,6500 ft.,7500 ft.,D,7500 ft.,,multiple_choice,,"Given the following winds aloft, TAS, fuel burn, course, and fuel data. [[TABLE]]","{""type"":""table"",""headers"":[""Winds Aloft Altitude"",""Wind"",""TAS Altitude"",""TAS""],""rows"":[[""3000"",""350@10 kts"",""3500 ft."",""118 kts""],[""6000"",""020@22 kts"",""4500 ft."",""121 kts""],[""9000"",""050@28 kts"",""6500 ft."",""126 kts""],["""","""",""7500 ft."",""129 kts""]],""notes"":[""Avg. Fuel Burn: 8.6 gph"",""TC outbound: 178°"",""Useable Fuel: 51 gallons""]}"
22,"If variation is 8W, what would your magnetic heading be on your return leg at 3500 ft?",010°,186°,006°,191°,C,006°,,multiple_choice,,Use the data table from problem 21. [[TABLE]],"{""type"":""table"",""headers"":[""Winds Aloft Altitude"",""Wind"",""TAS Altitude"",""TAS""],""rows"":[[""3000"",""350@10 kts"",""3500 ft."",""118 kts""],[""6000"",""020@22 kts"",""4500 ft."",""121 kts""],[""9000"",""050@28 kts"",""6500 ft."",""126 kts""],["""","""",""7500 ft."",""129 kts""]],""notes"":[""Avg. Fuel Burn: 8.6 gph"",""TC outbound: 178°"",""Useable Fuel: 51 gallons""]}"
23,What is your time to turn if you flew at 6500 feet?,2 hours 28 minutes,2 hours 26 minutes,2 hours 21 minutes,2 hours 16 minutes,D,2 hours 16 minutes,,multiple_choice,,Use the data table from problem 21. [[TABLE]],"{""type"":""table"",""headers"":[""Winds Aloft Altitude"",""Wind"",""TAS Altitude"",""TAS""],""rows"":[[""3000"",""350@10 kts"",""3500 ft."",""118 kts""],[""6000"",""020@22 kts"",""4500 ft."",""121 kts""],[""9000"",""050@28 kts"",""6500 ft."",""126 kts""],["""","""",""7500 ft."",""129 kts""]],""notes"":[""Avg. Fuel Burn: 8.6 gph"",""TC outbound: 178°"",""Useable Fuel: 51 gallons""]}"
24,"If you choose to fly at 4500 feet, what would be your groundspeed back?",125 mph,121 mph,117 mph,115 mph,B,121 mph,,multiple_choice,,Use the data table from problem 21. [[TABLE]],"{""type"":""table"",""headers"":[""Winds Aloft Altitude"",""Wind"",""TAS Altitude"",""TAS""],""rows"":[[""3000"",""350@10 kts"",""3500 ft."",""118 kts""],[""6000"",""020@22 kts"",""4500 ft."",""121 kts""],[""9000"",""050@28 kts"",""6500 ft."",""126 kts""],["""","""",""7500 ft."",""129 kts""]],""notes"":[""Avg. Fuel Burn: 8.6 gph"",""TC outbound: 178°"",""Useable Fuel: 51 gallons""]}"
25,What would your tailwind component be on the outbound leg at 7500 feet?,12 knots,16 knots,20 knots,23 knots,C,20 knots,,multiple_choice,,Use the data table from problem 21. [[TABLE]],"{""type"":""table"",""headers"":[""Winds Aloft Altitude"",""Wind"",""TAS Altitude"",""TAS""],""rows"":[[""3000"",""350@10 kts"",""3500 ft."",""118 kts""],[""6000"",""020@22 kts"",""4500 ft."",""121 kts""],[""9000"",""050@28 kts"",""6500 ft."",""126 kts""],["""","""",""7500 ft."",""129 kts""]],""notes"":[""Avg. Fuel Burn: 8.6 gph"",""TC outbound: 178°"",""Useable Fuel: 51 gallons""]}"
26,OAT is -35°C and TAS is 790 kts. How many times the speed of sound are you traveling?,1.32 times,1.53 times,1.78 times,1.83 times,A,1.32 times,,multiple_choice,,,
27,You wish to test the DME of the newly commissioned JES VORTAC. You over fly JES and continue outbound on the 100° radial. On you way out you do some sightseeing. After flying 10 NM past JES you fly heading 010° for 15 NM. Then you fly heading 044° for 12 NM. Then you fly heading 314° for 40 NM. What DME should you be indicating at this point? (Assume calm wind.),44 NM,50 NM,63 NM,77 NM,B,50 NM,,multiple_choice,,,
28,"You just traveled 48 SM in 11 minutes 18 seconds. OAT is -5°C. Your cruise altitude is 6500 ft. MSL and you are maintaining a magnetic heading of 215°. Winds are 170@28 kts. Variation is 8W. If the altimeter setting is 30.75, what is your true course?",203°,211°,214°,216°,B,211°,,multiple_choice,,,
29,"In the previous problem, what would your Mach meter indicate?",Mach 0.38,Mach 0.37,Mach 0.34,Mach 0.39,A,Mach 0.38,,multiple_choice,,"Referenced question 28: You just traveled 48 SM in 11 minutes 18 seconds. OAT is -5°C. Your cruise altitude is 6500 ft. MSL and you are maintaining a magnetic heading of 215°. Winds are 170@28 kts. Variation is 8W. If the altimeter setting is 30.75, what is your true course?",
30,"Pertaining to problem #28, what is your calibrated airspeed?",186 knots,219 knots,227 knots,261 knots,C,227 knots,,multiple_choice,,"Referenced question 28: You just traveled 48 SM in 11 minutes 18 seconds. OAT is -5°C. Your cruise altitude is 6500 ft. MSL and you are maintaining a magnetic heading of 215°. Winds are 170@28 kts. Variation is 8W. If the altimeter setting is 30.75, what is your true course?",
31,An airplane has a current weight of 2750 lbs with a CG of 20% MAC. How much weight must be shifted from aft baggage to forward baggage to bring the CG exactly to the forward CG limit? Forward baggage - station 28 Aft baggage - station 154 MAC - station 58 to station 88 Forward CG limit - 12% MAC,52 lbs,88 lbs,36 lbs,101 lbs,A,52 lbs,,multiple_choice,,,
32,"After flying for 37 minutes on a compass heading of 115° you find yourself 13 km off course to the right. If your groundspeed is 138 knots, what CH must you fly to parallel your intended course?",106°,124°,120°,110°,D,110°,,multiple_choice,,,
33,Aircraft Alpha is trying to catch up to and pass aircraft Bravo. Alpha is flying at Mach 1.63 while Bravo is flying at Mach 0.78. OAT is -38°C. When the chase begins the airplanes are 65 NM apart. How long would it take for Alpha to be 37 SM ahead of Bravo?,7 minutes 48 seconds,11 minutes 33 seconds,12 minutes 2 seconds,41 minutes 24 seconds,B,11 minutes 33 seconds,,multiple_choice,,,
34,"You are planning your climb profile. From the airport (elevation 1300 ft.) you fly out on a TC of 040°. You fly 105 KTAS & 1800 fpm to 11,000 ft. Then you fly 125 KTAS & 1100 fpm to FL180. Upon reaching FL180 you turn to a TC of 120° and continue to climb at 140 KTAS & 600 fpm to FL270. Average winds are 060@18 knots. How long will it take to reach FL270?",24.1 minutes,26.8 minutes,28.4 minutes,32.7 minutes,B,26.8 minutes,,multiple_choice,,,
35,"If average fuel burn was 1.6 liters per minute (lpm), how much fuel should be on board upon reaching FL270?",289 lbs,68 lbs,369 lbs,125 lbs,C,369 lbs,,multiple_choice,,"Referenced question 34: You are planning your climb profile. From the airport (elevation 1300 ft.) you fly out on a TC of 040°. You fly 105 KTAS & 1800 fpm to 11,000 ft. Then you fly 125 KTAS & 1100 fpm to FL180. Upon reaching FL180 you turn to a TC of 120° and continue to climb at 140 KTAS & 600 fpm to FL270. Average winds are 060@18 knots. How long will it take to reach FL270? [[DIVIDER]] (Refer to previous problem) You departed with 73 gal of fuel on board.",
36,"You are maintaining a descent gradient of 230 fpnm. True course is 238°. As you pass through 7500' MSL the following conditions exist: Winds are 209@19 kts, CAS is 131 knots, VSI is holding 510 fpm & OAT is 10°C. At the moment you passed through 7500' MSL what was your pressure altitude?",5000 feet,6000 feet,7000 feet,8000 feet,D,8000 feet,,multiple_choice,,,
37,"Up at your cruising altitude of 7500 ft. the OAT is -20°C. If the altimeter setting is 1038.6 hPa, what is the density altitude?",4100 ft.,5000 ft.,5900 ft.,6300 ft.,A,4100 ft.,,multiple_choice,,,
38,"An aircraft burns 10.4 gph. If it takes 17 seconds to travel.9 NM, then how much fuel would be consumed while flying 146 NM?",4.6 gal,6.8 gal,7.6 gal,8.0 gal,D,8.0 gal,,multiple_choice,,,
39,It takes 2 hours 38 minutes to fly 380 SM. What is your speed in mph?,,,,,143 - 145 mph,143 - 145 mph,,fill_in_blank,,,
40,Convert -15°C to Fahrenheit.,,,,,4.5°C - 5.5°C,4.5°C - 5.5°C,,fill_in_blank,,,
41,How many pounds does 41.3 Imp. Gal of oil weigh?,,,,,370 - 374 pounds,370 - 374 pounds,,fill_in_blank,,,
42,What is the square root of 178?,,,,,13.25 - 13.45,13.25 - 13.45,,fill_in_blank,,,
43,You are descending at 4300 fpm. What is this in knots?,,,,,42.2 - 42.8 knots,42.2 - 42.8 knots,,fill_in_blank,,,
44,How much does 240 lbs of Avgas weigh in kilograms?,,,,,108.5 - 109.5 kg,108.5 - 109.5 kg,,fill_in_blank,,,
45,Each box contains a dozen quarts of oil. How much do three boxes weigh in pounds?,,,,,67.0 - 68.0 pounds,67.0 - 68.0 pounds,,fill_in_blank,,,
