number,question,choice_a,choice_b,choice_c,choice_d,answer_key,correct_choice,answer_key_type,question_type,choice_e,context,table,problem_type
11,"While making a turn around a point at 85 knots, the distance traveled in one full turn was 4.4 NM. How far from the point was maintained on average?",0.3 NM,0.7 NM,1.3 NM,1.8 NM,B,0.7 NM,,multiple_choice,,,,Radius of Action
12,"Referencing the previous question, how long will it take to do four full turns around that point?",17.3 minutes,0.21 hours,3.1 minutes,0.41 hour,B,0.21 hours,,multiple_choice,,"Referenced question 11: While making a turn around a point at 85 knots, the distance traveled in one full turn was 4.4 NM. How far from the point was maintained on average?",,Time Problems with Hours/Min/Sec
13,"Your aircraft (3,350 LBS) is packed full, but unfortunately the CG (49"") is too far aft of the limit of 48"". How much weight do you have to remove from the baggage compartment (station 122) to be 1"" forward of the limit?",77.4 pounds,79.5 pounds,83.7 pounds,89.3 pounds,D,89.3 pounds,,multiple_choice,,,,Weight Change
14,"You touch down at 72 KIAS, and come to a complete stop in 9 seconds. If the field elevation is 4,216', altimeter setting is 29.67"" Hg, and temperature is 62°F, what was your rate of deceleration after touchdown?","28,810 nm/hr²","31,320 nm/hr²","33,570 nm/hr²","87,340 nm/hr²",B,"31,320 nm/hr²",,multiple_choice,,,,Acceleration
15,"How many pounds of jet fuel have been burned between two checkpoints 188 NM apart if the aircraft is flying at 433 knots with a total burn rate of 4,160 pounds per hour?","1,810 LBS","2,170 LBS","2,600 LBS","2,950 LBS",A,"1,810 LBS",,multiple_choice,,,,Time Problems with Hours/Min/Sec
16,"As the wind howls at the window, you consider the crosswind limitations of your airplane. Alas, you are just a student pilot, and you have been given a crosswind limitation of 7 knots and tailwind limitation of 3 knots. The METAR reports the wind as 130° at 14 knots, and the variation is 7°E. The following runways are available: 17R, 22L, 35C, and 08. Which runway(s) will satisfy your solo requirement?",17R,35C,Both runways,"None of the runways, try again tomorrow.",D,"None of the runways, try again tomorrow.",,multiple_choice,,,,Wind Correction
17,"The jet stream at FL310 (ISA-15°C) is 120° at 105 knots, whereas at FL270 (ISA-11°C), it is 160° at 143 knots. On a true course of 210° and an indicated airspeed of 450 knots, how much faster will it be to fly 1,817 KM at FL310 instead of FL270?",15 minutes,20 minutes,25 minutes,30 minutes,B,20 minutes,,multiple_choice,,,,Wind Correction
18,"At 7 NM, an Airbus A321 is beginning the descent and will maintain a final approach ground speed of 148 knots. At 3 NM, a Piper Seneca is maintaining a ground speed of 110 knots. How far out on final will the Airbus be when the Seneca crosses the threshold?",3 SM,3.5 SM,4 NM,4.5 NM,B,3.5 SM,,multiple_choice,,,,Overtaking Aircraft
19,"What is the density altitude at 6,500 feet indicated if the pressure is 993 mb and the temperature is -34°F?","1,200'","1,600'","2,200'","3,400'",C,"2,200'",,multiple_choice,,,,Miscellaneous
20,"What should your airspeed indicator read if your aircraft crosses 6 NM in 2.7 minutes while flying a true heading of 312° holding a wind correction angle of 10° right? Wind is 020° at 24 knots. Temperature is ISA at 8,500' MSL.",140 knots,131 knots,124 knots,117 knots,C,124 knots,,multiple_choice,,,,Wind Correction
21,"Not considering wind, if you flew between 2 radials in 26 seconds at 97 knots, how long would it take to turn and fly 21 NM directly to the station?",13.0 minutes,16.0 minutes,2.3 minutes,7.8 minutes,A,13.0 minutes,,multiple_choice,,,,Time to VOR
22,"You are flying a 172 NM flight on a true course of 104° at a true airspeed of 127 knots. If the winds aloft are 230° at 17 knots, how long will you have been flying when the time to continue equals the time to return?",35.1 minutes,38 minutes,40.8 minutes,79.6 minutes,A,35.1 minutes,,multiple_choice,,,,Equal Time Point
23,"Your current ramp weight is 2,437 LBS and your CG is 71.4"". If the forward CG limit is 73"", how many 5-KG ballast weights are required in the baggage compartment (94"") to move the CG into the limit?",2,9,17,37,C,17,,multiple_choice,,,,Weight Change
24,"If you fly a 34 DME arc from the 282° radial clockwise to the 342° radial, how much excess distance did you fly compared to a straight line between the start and end points of the arc?",0.5 NM,1.0 NM,1.5 NM,2.0 NM,C,1.5 NM,,multiple_choice,,,,60:1 Rule
25,"There is a 485' obstruction 2,451' from the departure end of Runway 14 (5,400' long). Your uncorrected ground roll is 823' and the performance chart states ""Reduce ground roll by 4% for every 10 knots of headwind."" Winds are 110° at 9 knots. What rate of climb is required to clear the obstacle by 50'?",407'/NM,411'/NM,453'/NM,493'/NM,C,453'/NM,,multiple_choice,,,,Climb Gradient
26,"Your flight will be 93 NM on a true course of 257°. You will burn 13.2 GPH while flying 151 KCAS at an indicated altitude of 5,500'. Winds aloft are 120° at 27 knots, the altimeter setting is 30.17"" Hg, and the OAT is 4°C. How many pounds of Avgas are required to complete the flight with a 30-minute reserve?",79.3 LBS,80.4 LBS,83.1 LBS,86.2 LBS,B,80.4 LBS,,multiple_choice,,,,Wind Correction
27,"You enter oceanic airspace over KEEKA at 1553 Zulu. ATC assigns you a cruise speed of Mach 0.78 at FL370 burning 6,000 pounds of fuel per hour. ATC asks what time you will be able to climb to FL380. Your computer shows that you weigh 161,000 pounds and that FL370 is your maximum altitude currently. After some research you note that at 150,000 pounds you'll be able to climb to FL380. What time do you tell ATC?",1736 Zulu,1740 Zulu,1743 Zulu,1748 Zulu,C,1743 Zulu,,multiple_choice,,,,Time Problems with Hours/Min/Sec
28,Convert 512 fluid ounces to liters.,10.7 liters,15.1 liters,24.2 liters,30.3 liters,B,15.1 liters,,multiple_choice,,,,Conversions
29,Convert 38 meters per second to feet per second.,124.7 fps,115.8 fps,97.4 fps,85.1 fps,A,124.7 fps,,multiple_choice,,,,Conversions
30,A temperature of 17°F is equivalent to ___°C.,-1.5,-2.7,-4.6,-8.3,D,-8.3,,multiple_choice,,,,Conversions
31,"The NIFA Metering judge needs a minimum of 9 minutes of separation between aircraft on a Navigation Event route. If a course is 72 NM long and an aircraft planning 120 KTAS is flying behind an aircraft planning 85 KTAS, how many seconds apart do the departure times need to be to have that separation the whole flight?",1429 seconds,1311 seconds,1007 seconds,889 seconds,A,1429 seconds,,multiple_choice,,,,Overtaking Aircraft
32,"If an aircraft climbs at 670 FPM at a groundspeed of 96 knots, how high will it have climbed after 14 minutes?","15,008'","12,165'","10,720'","9,380'",D,"9,380'",,multiple_choice,,,,Multiplication
33,"At the end of a 288 NM cross-country flight, you refill the airplane with 19.4 gallons of fuel. If your average groundspeed was 103 knots, what was your average fuel burn rate?",6.9 GPH,9.2 GPH,11.5 GPH,13.8 GPH,A,6.9 GPH,,multiple_choice,,,,Division
34,What is the true airspeed equivalent of Mach 0.75 at FL410 with OAT of -56°C?,496 mph,374 knots,430 km/hr,"1,310 knots",B,374 knots,,multiple_choice,,,,Miscellaneous
35,"Assuming IAS = CAS, what would the airspeed indicator read for an aircraft at 9,300' pressure altitude, temperature of 10°F, 165 KTAS, and calm winds?",235 km/hr,301 km/hr,161 mph,168 mph,B,301 km/hr,,multiple_choice,,,,Conversions
36,What is the groundspeed in climb?,62.7 KTS,117 KTS,123.3 km/hr,82.8 MPH,C,123.3 km/hr,,multiple_choice,,"Use the following information to solve questions 36-40. An aircraft leaves their departure airport (Elev. 1,076') on a true course of 160° for 114 NM to their destination airport (Elev. 661'). Departure winds are 185° at 12 knots; destination winds are calm. Winds aloft at a cruise altitude of 7,500' MSL are 285° at 21 knots. [[TABLE]]",Phase | Airspeed | Vertical Speed | Fuel Burn [[NEXT_LINE]] Climb | 83 KTAS | 715 FPM | 9.9 GPH [[NEXT_LINE]] Cruise | 107 KTAS | N/A | 5.3 GPH [[NEXT_LINE]] Descend | 119 KTAS | 800 FPM | 3.0 GPH,Wind Correction
37,How long will the aircraft be level in cruise?,0.64 hours,0.73 hours,48 minutes,61 minutes,D,61 minutes,,multiple_choice,,"Use the following information to solve questions 36-40. An aircraft leaves their departure airport (Elev. 1,076') on a true course of 160° for 114 NM to their destination airport (Elev. 661'). Departure winds are 185° at 12 knots; destination winds are calm. Winds aloft at a cruise altitude of 7,500' MSL are 285° at 21 knots. [[TABLE]]",Phase | Airspeed | Vertical Speed | Fuel Burn [[NEXT_LINE]] Climb | 83 KTAS | 715 FPM | 9.9 GPH [[NEXT_LINE]] Cruise | 107 KTAS | N/A | 5.3 GPH [[NEXT_LINE]] Descend | 119 KTAS | 800 FPM | 3.0 GPH,Time Problems with Hours/Min/Sec
38,What wind correction angle is required in cruise?,5° Left,3° Right,11° Left,9° Right,D,9° Right,,multiple_choice,,"Use the following information to solve questions 36-40. An aircraft leaves their departure airport (Elev. 1,076') on a true course of 160° for 114 NM to their destination airport (Elev. 661'). Departure winds are 185° at 12 knots; destination winds are calm. Winds aloft at a cruise altitude of 7,500' MSL are 285° at 21 knots. [[TABLE]]",Phase | Airspeed | Vertical Speed | Fuel Burn [[NEXT_LINE]] Climb | 83 KTAS | 715 FPM | 9.9 GPH [[NEXT_LINE]] Cruise | 107 KTAS | N/A | 5.3 GPH [[NEXT_LINE]] Descend | 119 KTAS | 800 FPM | 3.0 GPH,Wind Correction
39,What percentage of the total distance of the flight is spent descending?,10%,15%,20%,25%,A,10%,,multiple_choice,,"Use the following information to solve questions 36-40. An aircraft leaves their departure airport (Elev. 1,076') on a true course of 160° for 114 NM to their destination airport (Elev. 661'). Departure winds are 185° at 12 knots; destination winds are calm. Winds aloft at a cruise altitude of 7,500' MSL are 285° at 21 knots. [[TABLE]]",Phase | Airspeed | Vertical Speed | Fuel Burn [[NEXT_LINE]] Climb | 83 KTAS | 715 FPM | 9.9 GPH [[NEXT_LINE]] Cruise | 107 KTAS | N/A | 5.3 GPH [[NEXT_LINE]] Descend | 119 KTAS | 800 FPM | 3.0 GPH,Division
40,How many gallons of fuel are required if a 30-minute VFR reserve (cruise fuel burn) is included?,5.8 gallons,4.3 gallons,8.5 gallons,7.0 gallons,D,7.0 gallons,,multiple_choice,,"Use the following information to solve questions 36-40. An aircraft leaves their departure airport (Elev. 1,076') on a true course of 160° for 114 NM to their destination airport (Elev. 661'). Departure winds are 185° at 12 knots; destination winds are calm. Winds aloft at a cruise altitude of 7,500' MSL are 285° at 21 knots. [[TABLE]]",Phase | Airspeed | Vertical Speed | Fuel Burn [[NEXT_LINE]] Climb | 83 KTAS | 715 FPM | 9.9 GPH [[NEXT_LINE]] Cruise | 107 KTAS | N/A | 5.3 GPH [[NEXT_LINE]] Descend | 119 KTAS | 800 FPM | 3.0 GPH,Time Problems with Hours/Min/Sec
