number,question,choice_a,choice_b,choice_c,choice_d,answer_key,correct_choice,answer_key_type,question_type,choice_e,context,table,problem_type
21,"Reference the previous question. How far are you from NIIFA as you pass 18,000'?",16.4 miles,16.4 nautical miles,16.4 kilometers,"164,000 feet",A,16.4 miles,,multiple_choice,,"Referenced question 20: ATC wants you to descend now to cross the NIIFA intersection at 11,000' MSL. Your navigation system estimates 9 minutes 42 seconds to get there. If you're currently at FL410 and have an average ground speed of 700 KM/HR, what is your descent rate?",,Time Problems with Hours/Min/Sec
22,"If 640 acres equals 1 square SM, 40 acres is equivalent to how many square kilometers?",0.16,1.62,2.59,6.44,A,0.16,,multiple_choice,,,,Conversions
23,"You have 46,300 lbs of Jet A on board an aircraft weighing in at 197,800 LBS. How many liters do you have? (Assume 1 gallon = 6.75 LBS)","6,859","25,962","7,717","20,390",B,"25,962",,multiple_choice,,,,Conversions
24,"Reference the previous question. After landing you have 10,300 LBS of fuel and your CG shifted from 24% MAC to 28% MAC. The MAC is 162 inches and it starts at 42 feet. What is the position (in %MAC) for your fuel tanks?",10%,2.9%,6.0%,42%,C,6.0%,,multiple_choice,,"Referenced question 23: You have 46,300 lbs of Jet A on board an aircraft weighing in at 197,800 LBS. How many liters do you have? (Assume 1 gallon = 6.75 LBS)",,CG in % MAC
25,Reference the previous question. How far from the reference datum is your landing CG?,"509""","45""","87""","549""",D,"549""",,multiple_choice,,"Referenced question 23: You have 46,300 lbs of Jet A on board an aircraft weighing in at 197,800 LBS. How many liters do you have? (Assume 1 gallon = 6.75 LBS) [[DIVIDER]] Referenced question 24: Reference the previous question. After landing you have 10,300 LBS of fuel and your CG shifted from 24% MAC to 28% MAC. The MAC is 162 inches and it starts at 42 feet. What is the position (in %MAC) for your fuel tanks?",,CG in % MAC
26,"Find the winds aloft given the following conditions: Cruise true airspeed of 60 MPH, a ground speed of 80 knots, and a WCA of 7° right from a true course of 325°.",132° at 29 knots,344° at 29 knots,351° at 22 knots,171° at 22 knots,A,132° at 29 knots,,multiple_choice,,,,Wind Correction
27,"Given the following, find groundspeed. Outside air temperature = 78°F; [[NEXT_LINE]] True Course = 220°; [[NEXT_LINE]] Pressure altitude = 3,650' MSL; [[NEXT_LINE]] CAS = 87 knots; [[NEXT_LINE]] Winds aloft = 050° at 15 knots.",109.4 knots,94.7 knots,87.3 knots,72.7 knots,A,109.4 knots,,multiple_choice,,,,Wind Correction
28,"At 6,500' MSL, an outside air temperature of 15°C would yield an increase of how many knots from 137 KIAS to true airspeed?",11.0,13.2,15.4,17.3,D,17.3,,multiple_choice,,,,Conversions
29,"What is the density altitude at an indicated altitude of 2,500 feet, pressure of 30.30"" Hg, OAT of -15°F?","1,200'","-1,900'","2,200'","-2,600'",D,"-2,600'",,multiple_choice,,,,Miscellaneous
30,"While performing power-off stalls, a blockage in the induction system results in failure of your engine at 5,500' MSL. The elevation of the nearest airport due west, 6.5 NM away, is 826' MSL. The average wind from the surface to your altitude is 200° at 23 knots. If the POH states a calm wind glide ratio of 11:1, and assuming each knot of headwind decreases your range by 0.2 NM, will you make the airport, and by how many nautical miles?",You will land 0.4 NM short of the airport,You will land 1.7 NM short of the airport,You will make the airport with 0.4 NM to spare,You will make the airport with 2 NM to spare,C,You will make the airport with 0.4 NM to spare,,multiple_choice,,,,Radius of Action
31,"During SAFECON message drop, somehow the streamer from your container detached and ended up stuck to the edge of your 74-inch diameter McCauley propeller. At the maximum certified 2,700 RPM at sea level on a standard day, how many times the speed of sound will the streamer be whipped around?",1.2,1.0,0.8,0.6,C,0.8,,multiple_choice,,,,Multiplication
32,"You decide to relax and take your decked-out Piper Seminole for a ride. While cruising at 8,000 feet on the dot, thanks to the ol' wing leveler, at a blistering -40°C and altimeter setting of 29.52"" Hg, what is your current true altitude?","4,500'","6,900'","8,400'","9,300'",B,"6,900'",,multiple_choice,,,,Miscellaneous
33,"Reference the previous question. Now imagine strapping a rocket to your Piper Seminole. If you now are cookin' at 680 knots TAS, what Mach number are you flying at?",0.85,1.05,1.14,1.20,C,1.14,,multiple_choice,,"Referenced question 32: You decide to relax and take your decked-out Piper Seminole for a ride. While cruising at 8,000 feet on the dot, thanks to the ol' wing leveler, at a blistering -40°C and altimeter setting of 29.52"" Hg, what is your current true altitude?",,Miscellaneous
34,"At 80 knots, how long would it take you to fly 522 SM?","34,043 seconds","39,150 seconds","23,490 seconds","20,426 seconds",D,"20,426 seconds",,multiple_choice,,,,Time Problems with Hours/Min/Sec
35,How many kilograms is equivalent to 84 LBS?,45.2,38.1,22.2,18.5,B,38.1,,multiple_choice,,,,Conversions
36,"You must be able to fly and descend to your destination, climb to the diversion altitude, and arrive at your alternate with 45 minutes of cruise reserve fuel. How much time can you hold at DEPDY?",21:24,23:54,25:48,27:30,D,27:30,,multiple_choice,,"Use the following information for questions 36-40: You are in a hold at DEPDY at 10,000' MSL with 5,800 LBS of jet fuel. Your destination is KLGA (21' MSL) on a true course of 052° and 45 NM away. Your alternate is KABE (394' MSL) on a true course of 277° and 72 NM from KLGA. The average winds aloft are 320° at 30 knots. Your average level flight performance is 250 KTAS and 3,600 LBS/hr of fuel burn. Your average descent performance is 1,500 FPM, 250 KTAS, and 1,200 LBS/hr of fuel burn. During a missed approach followed by a diversion you would climb to 15,000' MSL with climb performance of 3,500 FPM, 250 KTAS, and 8,000 LBS/hr of fuel burn.",,Time Problems with Hours/Min/Sec
37,How much fuel is consumed during the cruise segment to LGA? (Assume 1 gal = 6.75 LBS),37 Gallons,551 Pounds,41 Gallons,327 Pounds,A,37 Gallons,,multiple_choice,,"Use the following information for questions 36-40: You are in a hold at DEPDY at 10,000' MSL with 5,800 LBS of jet fuel. Your destination is KLGA (21' MSL) on a true course of 052° and 45 NM away. Your alternate is KABE (394' MSL) on a true course of 277° and 72 NM from KLGA. The average winds aloft are 320° at 30 knots. Your average level flight performance is 250 KTAS and 3,600 LBS/hr of fuel burn. Your average descent performance is 1,500 FPM, 250 KTAS, and 1,200 LBS/hr of fuel burn. During a missed approach followed by a diversion you would climb to 15,000' MSL with climb performance of 3,500 FPM, 250 KTAS, and 8,000 LBS/hr of fuel burn.",,Wind Correction
38,How much total fuel do you burn while descending (include both LGA and ABE)?,133 Pounds,328 Pounds,411 Pounds,547 Pounds,B,328 Pounds,,multiple_choice,,"Use the following information for questions 36-40: You are in a hold at DEPDY at 10,000' MSL with 5,800 LBS of jet fuel. Your destination is KLGA (21' MSL) on a true course of 052° and 45 NM away. Your alternate is KABE (394' MSL) on a true course of 277° and 72 NM from KLGA. The average winds aloft are 320° at 30 knots. Your average level flight performance is 250 KTAS and 3,600 LBS/hr of fuel burn. Your average descent performance is 1,500 FPM, 250 KTAS, and 1,200 LBS/hr of fuel burn. During a missed approach followed by a diversion you would climb to 15,000' MSL with climb performance of 3,500 FPM, 250 KTAS, and 8,000 LBS/hr of fuel burn.",,Time Problems with Hours/Min/Sec
39,How long does it take to fly from KLGA to KABE?,15 minutes,17 minutes,19 minutes,21 minutes,C,19 minutes,,multiple_choice,,"Use the following information for questions 36-40: You are in a hold at DEPDY at 10,000' MSL with 5,800 LBS of jet fuel. Your destination is KLGA (21' MSL) on a true course of 052° and 45 NM away. Your alternate is KABE (394' MSL) on a true course of 277° and 72 NM from KLGA. The average winds aloft are 320° at 30 knots. Your average level flight performance is 250 KTAS and 3,600 LBS/hr of fuel burn. Your average descent performance is 1,500 FPM, 250 KTAS, and 1,200 LBS/hr of fuel burn. During a missed approach followed by a diversion you would climb to 15,000' MSL with climb performance of 3,500 FPM, 250 KTAS, and 8,000 LBS/hr of fuel burn.",,Wind Correction
40,"If you were to go in a straight line from DEPDY to ABE, what would your true course be?",300°,315°,330°,345°,B,315°,,multiple_choice,,"Use the following information for questions 36-40: You are in a hold at DEPDY at 10,000' MSL with 5,800 LBS of jet fuel. Your destination is KLGA (21' MSL) on a true course of 052° and 45 NM away. Your alternate is KABE (394' MSL) on a true course of 277° and 72 NM from KLGA. The average winds aloft are 320° at 30 knots. Your average level flight performance is 250 KTAS and 3,600 LBS/hr of fuel burn. Your average descent performance is 1,500 FPM, 250 KTAS, and 1,200 LBS/hr of fuel burn. During a missed approach followed by a diversion you would climb to 15,000' MSL with climb performance of 3,500 FPM, 250 KTAS, and 8,000 LBS/hr of fuel burn.",,Courses and Headings
