number,question,choice_a,choice_b,choice_c,choice_d,answer_key,correct_choice,answer_key_type,question_type,choice_e,context,table,type_of_problem
11,"While on an exotic international trip you realize that your fuel order must be placed in liters. Since you need 58 gallons, you request how many liters?",252,234,228,219,D,219,,multiple_choice,,,,Conversions
12,"If the OAT is 20°C, the Pressure Altitude is 8000 feet, and the Calibrated Altitude is 8500 feet, what is the True Altitude?",9100 feet,9350 feet,9600 feet,Not enough information given,A,9100 feet,,multiple_choice,,,,Miscellaneous
13,"While in a steady climb late at night, you discover a need to know your climb rate. Unfortunately, inky shadows have obscured your VSI. Undeterred, you decide to use your flight computer to solve your problem. But before you do that, what is your ground speed if you have covered 200 nautical miles in just 78 minutes?",152 knots,154 knots,232 knots,185 miles per hour,B,154 knots,,multiple_choice,,,,Time problems with hours/min/sec
14,"With that question answered, you now have time to work on your first problem. The good news is that you started your stop watch exactly 3 minutes and 48 seconds ago as you passed through 1200 feet. Since your climb rate is 520 feet per minute, what is your altitude now- a. Enter your answer on the answer sheet",,,,,3150 - 3210,3150 - 3210,,fill_in_blank,,,,Rate of climb
15,"If the pressure altitude is 10,000 feet and the temperature is -10°C, what is the density altitude?",9280 feet,"10,000 feet","11,098 feet","12,468 feet",A,9280 feet,,multiple_choice,,,,Density altitude
16,"If the fuel burn is 11.5 gallons per hour, how much AVGAS will you burn in 1 hour and 54 minutes?",221 pounds,290 kg,22.1 gallons,13.2 imperial gallons,C,22.1 gallons,,multiple_choice,,,,Fuel burn / fuel required
17,"If the OAT gauge reads -4°F and you are at 172 knots indicated while cruising at 5000 feet, what is the true airspeed if you know that your thermometer always reads 6°F warmer than the OAT actually is?",176 knots,178 knots,182 knots,189 knots,A,176 knots,,multiple_choice,,,,Airspeed / Mach
18,How many statute miles are in 190 nautical miles?,165,219,221,225,B,219,,multiple_choice,,,,Conversions
19,"If the OAT is 5°F and the Mach number is 0.36, what is the airspeed?",225 mph,235 mph,243 mph,260 mph,D,260 mph,,multiple_choice,,,,Airspeed / Mach
20,"Using a standard weight of 184 pounds per passenger, what is the weight of 32 passengers?",580 pounds,2752 pounds,2671 kg,5800 kg,C,2671 kg,,multiple_choice,,,,Multiplication / division
21,"If the airspeed is 163 mph, what is the time required to cover 272 statute miles?",1:00,1:37,1:40,1:50 Use,C,1:40,,multiple_choice,,,,Time problems with hours/min/sec
22,"the following information to answer the next problems. In the morning, the wind aloft is expected to be 180@10 knots, and the temperature at cruise to be 15°C. In the evening, the wind aloft is expected to be 230@15 knots and the temperature is to be 5°C. Indicated Airspeed is 138 mph, and fuel burn is 8.5 gallons per hour. You need to make stops in two cities, A and B. The true course from Home to A is 141°. The true course from Home to B is 058°. The magnetic variation is 7° east. In the morning, what would your ground speed be while cruising at 5500 feet pressure altitude between Home and A?",108 knots,126 knots,144 knots,163 knots,B,126 knots,,multiple_choice,,,,Wind correction
23,"If you were to wait until the evening to fly from Home to A, what groundspeed would you have instead?",128 knots,133 knots,144 knots,152 knots,A,128 knots,,multiple_choice,,,,Wind correction
24,"If you wait until the evening to fly a round trip from Home to point B and back, you will complete the trip sooner.",TRUE,FALSE,,,B,FALSE,,multiple_choice,,,,Wind correction
25,"If you had been able to fly from Home to A (85 statute miles) in 37 minutes and 45 seconds, you would suspect that the winds were different from the forecast. You would suspect this because your ground speed was:",135 knots,126 knots,117 knots,108 knots,C,117 knots,,multiple_choice,,,,Time problems with hours/min/sec
26,"It turns out that after all of that fuss, you ended up running late and not actually departing from B to Home until noon, rendering your calculations worthless. During that flight, you noticed that you had to fly a magnetic heading of 228° to stay on course. TAS was 130 knots and GS was 112 knots in this case. What were the winds (true direction)?",216@19 knots,330@17 knots,260@15 knots,087@13 knots,A,216@19 knots,,multiple_choice,,,,Wind correction
27,What is the weight of 9 quarts of oil?,6.7 pounds,15.0 pounds,16.9 pounds,18.0 pounds,C,16.9 pounds,,multiple_choice,,,,Conversions
28,How many inches are in a kilometer- a. Enter your answer on the answer sheet,,,,,39370 - 39374,39370 - 39374,,fill_in_blank,,,,Conversions
29,"If you have travelled 284 statute miles in 3 hours and 8 minutes, what is your ground speed?",60.0 knots,78.5 knots,90.5 knots,96.5 knots,B,78.5 knots,,multiple_choice,,,,Time problems with hours/min/sec
30,"You find yourself.17"" forward of CG. You decide to move a 31 lb. duffel bag from station 54. If the CG limits are 61"" to 69"" and your weight is 4078 lb., what station will it end up at to bring you to the forward limit?",22,32,76,63,C,76,,multiple_choice,,,,Weight shift
31,"At a climb rate of 2400 feet per minute and a ground speed of 105 knots, how many nautical miles will you cover during 5 minutes of climb?",8.5 nautical miles,8.75 nautical miles,9.0 nautical miles,Not enough information given,B,8.75 nautical miles,,multiple_choice,,,,Rate of climb
32,How many miles will you cover in 3500 feet of altitude gain?,1.53 statute miles,1.53 nautical miles,2.43 statute miles,2.55 nautical miles,D,2.55 nautical miles,,multiple_choice,,"Referenced question 31: At a climb rate of 2400 feet per minute and a ground speed of 105 knots, how many nautical miles will you cover during 5 minutes of climb?",,Climb gradient
33,Convert 92°C to °F:,128,138,148,198,D,198,,multiple_choice,,,,Conversions
34,"If AVGAS consumption is 15 pounds per hour, what is the fuel burn for 1 hour and 14 minutes?",3.1 gallons,3.2 gallons,18.3 gallons,18.6 gallons,A,3.1 gallons,,multiple_choice,,,,Fuel burn / fuel required
35,"The winds are 299° at 29 knots. On a course of 029° at 129 knots TAS, what is the wind correction angle?",13°,15°,29°,90°,A,13°,,multiple_choice,,,,Wind correction
36,"Using the information from the previous question, what is the ground speed?",145 mph,142 knots,129 knots,126 mph,A,145 mph,,multiple_choice,,"Referenced question 35: The winds are 299° at 29 knots. On a course of 029° at 129 knots TAS, what is the wind correction angle?",,Wind correction
37,"With a fuel flow of 48 kilos per hour you have an endurance of 6:09 hours. The winds are 098° at 29 knots and your outbound course is 211° with an indicated airspeed of 176 knots. How far can you fly outbound before having to turn around so you don't run out of gas? Your pressure altitude of choice is 8,500' and the temperature is 11°C below standard.",592 nm,616 nm,224 nm,528 nm,A,592 nm,,multiple_choice,,,,Radius of action
38,"If the airport elevation is 5805 feet and the altimeter setting is 30.57 inches of mercury, what is the pressure altitude?",5155,5555,5805,6042,A,5155,,multiple_choice,,,,Miscellaneous
39,On runway 6 the winds are 350@24 knots. What is the crosswind component?,7 knots from the left,15 mph from the right,26 mph from the left,26 knots from the right,C,26 mph from the left,,multiple_choice,,,,Crosswind component
40,"After you land your first airline job, a passenger asks you how fast your plane goes. Since you don't want to seem ignorant, you know to account for the difference between your IAS of 225 knots at 10,000 feet on a standard day is actually more like:",262 knots,267 knots,296 knots,302 knots,A,262 knots,,multiple_choice,,,,Airspeed / Mach
41,"You give the passenger your answer, and he says, ""Knots, what does that mean to me?"" You say ""Oh, that's:","about 250 miles per hour.""","about 275 miles per hour.""","about 300 miles per hour.""","about 325 miles per hour.""",C,"about 300 miles per hour.""",,multiple_choice,,"Referenced question 40: After you land your first airline job, a passenger asks you how fast your plane goes. Since you don't want to seem ignorant, you know to account for the difference between your IAS of 225 knots at 10,000 feet on a standard day is actually more like:",,Conversions
42,"In return, your passenger replies, ""Actually, I'm from Australia and only think of speeds in terms of kilometers per hour."" You realize that with his accent, you should have anticipated this scenario. Fortunately, you remember the conversion from the above question. What is your speed in km/hr?",,,,,483 - 487,483 - 487,,fill_in_blank,,"Referenced question 40: After you land your first airline job, a passenger asks you how fast your plane goes. Since you don't want to seem ignorant, you know to account for the difference between your IAS of 225 knots at 10,000 feet on a standard day is actually more like: [[DIVIDER]] Referenced question 41: Refer to the previous question. You give the passenger your answer, and he says, ""Knots, what does that mean to me?"" You say ""Oh, that's: [[DIVIDER]] Referenced question 41: . You give the passenger your answer, and he says, ""Knots, what does that mean to me?"" You say ""Oh, that's: [[DIVIDER]] Referenced question 41: You give the passenger your answer, and he says, ""Knots, what does that mean to me?"" You say ""Oh, that's:",,Conversions
