number,question,choice_a,choice_b,choice_c,choice_d,answer_key,correct_choice,answer_key_type,question_type,choice_e,context,table,type_of_problem
24,You are flying a 045° heading at 125 kts and notice you are holding a 6° left wind correction angle. You then turn to 010° but are now drifting left 4°. What are the winds aloft?,024@29,147@14,057@18,174@23,A,024@29,,multiple_choice,,,,Wind correction
25,"Your current prop has an 80"" diameter. If you change to an 83"" diameter prop, what would the blade tip speed be at 2,700 RPM? Assume standard conditions at sea level.",.87M,.84M,.92M,.81M,A,.87M,,multiple_choice,,,,Airspeed / Mach
26,"You decide to do a groundspeed check while tracking your progress with a nearby VOR. It takes you 4:54 to fly between the 005° and 350° radials. If your DME reads 35 nm, what is your actual groundspeed?",115 kts,121 kts,102 kts,107 kts,D,107 kts,,multiple_choice,,,,Miscellaneous
27,"Your aircraft's empty weight/CG is 1734 lbs/32.7"". You weigh 177 lbs and sit in the pilot's seat at an arm of 31"". With 22 gallons of fuel at 39"" and 10 lbs of baggage at 68"", what is your ramp weight/CG?","1934 lbs/32.8""","2053 lbs/33.1""","2053 lbs/33.9""","2053 lbs/82.9""",B,"2053 lbs/33.1""",,multiple_choice,,,,Weight change
28,"An aircraft is passing over you at FL340, flying a true course of 139° at 0.78M. You are traveling in the opposite direction at FL330 and 0.83M. The wind is 290@94 kts, and temperature is ISA. What is your closure rate with the other aircraft?","1,662 kph","1,695 kph","1,721 kph","1,748 kph",C,"1,721 kph",,multiple_choice,,,,Overtaking aircraft
29,"While flying visually along a road, you want to check the winds. You know that the road runs exactly 090°/270° true course (4° W variation), and you are flying east. Your compass shows a heading of 081°, and the correction card says ""TO FLY 090 STEER 088"". If it takes you 49 seconds to travel between mile markers and your airspeed indicator shows 83 kts, what are the true winds aloft? Since you are flying at low altitude, assume IAS=TAS.",025@19 kts.,046@25 kts.,062@21 kts.,288@58 kts.,B,046@25 kts.,,multiple_choice,,,,Wind correction
30,"In your aircraft, you can cruise at 154 mph TAS while burning 13.1 gph, or 133 mph TAS while burning 8.9 gph. Your true course today is 338°, winds aloft are 036@29 kts, and you have 34 gallons of fuel. How much additional range do you gain by flying at the slower speed assuming no reserve fuel?",57 nm,84 nm,71 nm,108 nm,C,71 nm,,multiple_choice,,,,Fuel burn / fuel required
31,"You are planning a flight at 6500' with a true course of 049° at 137 KTAS. Winds aloft are 290@33 kts. If the flight is 314 km, how long after departure will the time to continue equal the time to return?",27 minutes and 19 seconds,29 minutes and 42 seconds,33 minutes and 17 seconds,37 minutes and 58 seconds,B,29 minutes and 42 seconds,,multiple_choice,,,,Equal time to point
32,"You are taking off from an airport at an elevation of 1,259 meters, the altimeter setting is 29.68"", and the temperature is 83°F. What is your density altitude?","4,400'","6,200'","6,900'","10,400'",C,"6,900'",,multiple_choice,,,,Density altitude
33,"Your friend asks you to show him what 1.8g feels like. You don't have a g-meter in your aircraft, so as you roll into a level turn, what bank angle do you need to maintain?",34°,39°,47°,56°,D,56°,,multiple_choice,,,,Miscellaneous
34,"Your aircraft cruises at 114 KTAS, and can carry 4 people. Disregarding wind, what is your per passenger fuel economy if you burn 9.2 gallons per hour of fuel?",36 Passenger SM/Gallon,43 Passenger SM/Gallon,50 Passenger SM/Gallon,57 Passenger SM/Gallon,D,57 Passenger SM/Gallon,,multiple_choice,,,,Fuel burn / fuel required
35,"Your aircraft weighs 1097 kgs empty. If you put 128 liters of fuel in the tanks, what percentage of the total weight is comprised of fuel?",8.40%,9.20%,10.70%,11.60%,A,8.40%,,multiple_choice,,,,Weight change
36,How many kilograms of 100LL avgas does it take to fill up your aircraft's 48 U.S. gallon tanks?,288,130.9,633.6,399.7,B,130.9,,multiple_choice,,,,Conversions
37,"You calculate the weight and balance of your C-172SP with yourself (157 lbs.) and your friend Annie (133 lbs.) in the front seats (arm 37 inches). Sebastian, your little pony at 274 lbs., is in the baggage compartment (arm 95 inches). You have a gross weight of 2378 lbs with a CG of 46.7 inches. Sebastian is a little cramped in the baggage compartment, so you move him to the back seat (arm 73 inches). How does the CG change?",-2.53 inches,-22 pounds,-5.57 inches,+22 pounds,A,-2.53 inches,,multiple_choice,,,,Weight shift
38,The runway heading is 267°. The ATIS reported winds are 230° at 22 kts. What heading must you fly to track the centerline down final if your TAS on final is 156 km/hr?,276°,262°,272°,258°,D,258°,,multiple_choice,,,,Wind correction
39,The winds at your cruising altitude are forecasted to be 135° at 42 kts. You are flying a true course of 335°. Your destination is 486 nm from your departure point. How many gallons of fuel will you burn and what true heading will you fly on this flight? Your Cruise Master 100 burns 110.4 pph of 100LL gasoline and averages a TAS of 192 mph.,38.7 and 339,43.5 and 340,260.9 and 340,232.4 and 339,B,43.5 and 340,,multiple_choice,,,,Fuel burn / fuel required
40,"You are flying a true course of 065°, and you lost the printout of the winds aloft forecast. You are flying a TAS of 134 kts. You initially fly heading 075° and drift 5° right of course. You correct and fly heading 055° and drift 2° left. What are the winds aloft?",240@36 kts.,060@97 kts.,240@170 kts.,060@36 kts.,D,060@36 kts.,,multiple_choice,,,,Wind correction
