number,question,choice_a,choice_b,choice_c,choice_d,answer_key,correct_choice,answer_key_type,question_type,choice_e,context,table,type_of_problem
11,"A Navy aircraft tracking north is ready to return to land and the pilot must decide which of 3 nearby stationary ships to return to. One ship (Ship B) is to the right, directly abeam, 166 NM away. Ship A is in front of Ship B and Ship C is behind it. The 3 ships are equally spaced, in a staggered line, with 106.7 NM between ships. Ship C is at a magnetic bearing of 040° to Ship B and Ship A. From the aircraft, Ship A is a 071° course and Ship C is a 130° course. The winds aloft are 180° at 40 knots. The aircraft TAS is 415 knots. How far away is Ship C from the aircraft?",106.7 NM,127.2 NM,148.4 NM,197.3 NM,B,127.2 NM,,multiple_choice,,,,Courses and headings
12,(Using information from the previous question) Which ship will the pilot return to in the fastest time?,Ship A,Ship B,Ship C,"Ship B or C, the time to reach the ships are equal",C,Ship C,,multiple_choice,,"Referenced question 11: A Navy aircraft tracking north is ready to return to land and the pilot must decide which of 3 nearby stationary ships to return to. One ship (Ship B) is to the right, directly abeam, 166 NM away. Ship A is in front of Ship B and Ship C is behind it. The 3 ships are equally spaced, in a staggered line, with 106.7 NM between ships. Ship C is at a magnetic bearing of 040° to Ship B and Ship A. From the aircraft, Ship A is a 071° course and Ship C is a 130° course. The winds aloft are 180° at 40 knots. The aircraft TAS is 415 knots. How far away is Ship C from the aircraft?",,Courses and headings
13,"At an FBO preflighting your jet, how many gallons do you tell the fueler to put on if your dispatch paperwork says total fuel of 5,201 pounds? (Use specific gravity of 0.8 kg/liter)",780,499,378,716,A,780,,multiple_choice,,,,Conversions
14,An aircraft flying a straight path southeasterly at 97 knots crosses radial 042 and then 1 minute 42 seconds later crosses radial 057 from the same VOR. How much distance was flown in that time?,11.0 NM,8.55 NM,2.74 NM,1.05 NM,C,2.74 NM,,multiple_choice,,,,Time problems with hours/min/sec
15,"While flying along the only cloud in the sky happens to be right on your course. The cloud is 5 nm in diameter and you plan to use your excellent depth perception to fly around the cloud at a constant minimum legal cloud clearance distance (that's 2,000' in this particular airspace) and rejoin your original course 180° later on the other side. How far will you fly from the point you start deviating until you rejoin your course?",15.7 NM,7.85 NM,8.88 NM,17.77 NM,C,8.88 NM,,multiple_choice,,,,DME arc
16,(Using the information from the previous question) If you are flying at 105 kts how much longer will it take to fly around the cloud than to fly your planned course?,3.23 MINS,1.82 MINS,5.74 MINS,5.07 MINS,B,1.82 MINS,,multiple_choice,,"Referenced question 15: While flying along the only cloud in the sky happens to be right on your course. The cloud is 5 nm in diameter and you plan to use your excellent depth perception to fly around the cloud at a constant minimum legal cloud clearance distance (that's 2,000' in this particular airspace) and rejoin your original course 180° later on the other side. How far will you fly from the point you start deviating until you rejoin your course?",,DME arc
17,"You are flying along in cruise when your friend decides he needs to use the bathroom. Good thing you decided to get the lavatory option, but he is going to have to dump it at your destination. If he weighs 190 lbs and was in the front seat at 63"" what will be the CG when he walks back to the lavatory at 240""? The aircraft weighs 8,700 lbs and had a CG of 110"" before he moved.","106.13""","110.39""","109.61""","113.87""",D,"113.87""",,multiple_choice,,,,Weight shift
18,It took you 10 minutes to fly between your checkpoints 14 nm apart flying a heading of 266°. If you had a planned course of 258° and a true airspeed of 105 kts what are the winds aloft?,295°@25 KTS,237°@24 KTS,057°@24 KTS,115°@25 KTS,A,295°@25 KTS,,multiple_choice,,,,Wind correction
19,"It is a hot day so you decide you should calculate your performance numbers before departing. If the airport elevation is 3,420' and the temperature is 104°F with an altimeter setting of 30.12"" of Hg, what is the density altitude?","3,800'","4,630'","6,700'","5,580'",C,"6,700'",,multiple_choice,,,,Density altitude
20,How much avgas was burned after an aircraft flew 385 kilometers at 177 miles per hour? The average rate of burn was 0.88 liters per minute.,7.15 L,18.9 US GALS,6.2 US GALS,41.6 KG,B,18.9 US GALS,,multiple_choice,,,,Fuel burn / fuel required
21,"In the previous question if your aircraft weighed 3410 LBS and had a CG of 57.3"" before departure what will be the CG at your destination assuming the fuel was burned from 64.8""?","57.56""","54.72""","59.88""","57.04""",D,"57.04""",,multiple_choice,,Referenced question 20: How much avgas was burned after an aircraft flew 385 kilometers at 177 miles per hour? The average rate of burn was 0.88 liters per minute.,,Weight change
22,"You are flying a true course of 180° indicating 153 kilometers per hour at 6,500' MSL where your OAT probe is indicating 50°F. If the pressure was reported as 1000.86 MB and the winds are 022°@17 KTS, what is your true airspeed?",74 KTS,93 MPH,108 KTS,107 MPH,D,107 MPH,,multiple_choice,,,,Airspeed / Mach
23,"Your normal takeoff distance is 1,270' with 430' of that occurring after liftoff. If your aircraft operating handbook says to increase your normal takeoff by 40% of the ground roll when operating on grass, what would be your normal takeoff distance when departing a grass runway?","1,606","1,778'","1,442'","1,176'",A,"1,606",,multiple_choice,,,,Miscellaneous
24,"To give yourself something to think about during cruise you decide to determine your speed in Mach. If you are maintaining 120 KTAS and the OAT is -10°C at 12,000' what is your speed?",M0.183,M0.101,M0.192,M0.076,C,M0.192,,multiple_choice,,,,Airspeed / Mach
25,"Flying at 85 KTS, you drift left of course by 11° on a 120° heading. You turn right and fly heading 155°. Now you drift 4° right. What are the winds at your altitude?",326° at 27 KTS,146° at 58 KTS,326° at 112 KTS,146° at 27 KTS,D,146° at 27 KTS,,multiple_choice,,,,Wind correction
26,"You're meeting your friend John for a $100 hamburger at a nearby airport cafe. You depart your home airport at 1735Z and fly a true course of 357° for 83 nm. Your friend departs at 1738Z and flies a true course of 063° for 97 nm. Who will arrive first, and by how long? [[NEXT_LINE]] Your plane: [[NEXT_LINE]] TAS = 119 KTS. [[NEXT_LINE]] Deviation = +3° [[NEXT_LINE]] John's plane: [[NEXT_LINE]] TAS = 136 KTS. [[NEXT_LINE]] Deviation = -1° [[NEXT_LINE]] Wind 040@19 KTS. [[NEXT_LINE]] Variation = 3E°","John, by 3 minutes","John, by 5 minutes","You, by 3 minutes","You, by 5 minutes",D,"You, by 5 minutes",,multiple_choice,,,,Wind correction
27,"You just got a job flying a skydive airplane. On one of your first runs, a jumper decides to sit this one out and ride back down with you. You remember from training that his reserve canopy will automatically deploy if it senses a descent rate over 78 MPH at 750' AGL. What is the maximum vertical speed at which you can descend without deploying his reserve?",690 FPM,790 FPM,6870 FPM,7900 FPM,C,6870 FPM,,multiple_choice,,,,Rate of descent
28,"Your airplane burns 300 LBS/HR. of Jet-A (6.8 LBS/GAL.). You are going on a 1 hour 37 minute flight, and you want to carry a 45 minute reserve. How many liters of Jet-A do you need on board?",306 L,395 L,447 L,473 L,B,395 L,,multiple_choice,,,,Fuel burn / fuel required
29,Find winds aloft: [[NEXT_LINE]] TAS = 128 KTS. [[NEXT_LINE]] TC = 192°. [[NEXT_LINE]] MH = 202°. [[NEXT_LINE]] Variation = 6W [[NEXT_LINE]] You have travelled 42 NM in 17 minutes.,041°@25 KTS,327°@32 KTS,348°@22 KTS,357°@28 KTS,C,348°@22 KTS,,multiple_choice,,,,Wind correction
30,"You are cruising at FL390 and a ground speed of 265 KTS. ATC instructs you to cross VEEKS at 25,000. If you are flying a true course of 113°, and the average winds in the descent are 035°@85 KTS, how far from VEEKS should you start your descent? Your SOP prescribes a 1500 FPM descent profile.",36.4 NM,47.4 SM,74.9 KM,85.2 KM,B,47.4 SM,,multiple_choice,,,,Rate of descent
31,"You desire to transport AVGAS for personal use in a home-made trailer from the municipal airport to the grass runway you have created on your land. Your understanding of the regulations is that the trailer must not be designed to carry more than 450 liters of fuel, but you know that your tow vehicle can only safely pull 1000 pounds. How much can the empty trailer assembly weigh if you would like to carry the maximum regulatory limit and still be under 1000 pounds of gross weight?",286 LBS,384 LBS,429 LBS,698 LBS,A,286 LBS,,multiple_choice,,,,Weight change
32,"Using the information from the previous question, upon fabricating your trailer, you find that its empty weight is 524 pounds. Which of these answers best describes how much fuel you can load it with and still be within the 1000-pound gross weight limit?",85 Gallons,250 Liters,less than half of the tank's capacity,two thirds of the tank's capacity,D,two thirds of the tank's capacity,,multiple_choice,,"Referenced question 31: You desire to transport AVGAS for personal use in a home-made trailer from the municipal airport to the grass runway you have created on your land. Your understanding of the regulations is that the trailer must not be designed to carry more than 450 liters of fuel, but you know that your tow vehicle can only safely pull 1000 pounds. How much can the empty trailer assembly weigh if you would like to carry the maximum regulatory limit and still be under 1000 pounds of gross weight?",,Weight change
33,The ATIS reports the wind from 330° at 22 knots. You are taking off from runway 26. What is the crosswind component?,19 MPH,23 KTS,24 MPH,19 KTS,C,24 MPH,,multiple_choice,,,,Crosswind component
34,Your airplane can hold 431 pounds of usable avgas and burns 53.75 L/hr. What is your endurance if you plan to land with the required 30-minute day/VFR reserve?,7:31,4:33,5:04,3:58,B,4:33,,multiple_choice,,,,Fuel burn / fuel required
35,"Airplane A has a TAS of 120 knots and Airplane B has a TAS of 140 knots, both at 8,000'. If Airplane A departs Regional Airport 25 minutes prior to Airplane B, how long will it take for Airplane B to catch up and pass Airplane A? (Assume calm wind)",2:30,2:55,2:45,Airplane B will not catch Airplane A,A,2:30,,multiple_choice,,,,Overtaking aircraft
36,"Considering a standard atmosphere, what TAS is Mach 1.2 at 25,000'?",697 KTAS,821 KTAS,721 KTAS,839 KTAS,C,721 KTAS,,multiple_choice,,,,Airspeed / Mach
37,You are flying 135° magnetic heading at 110 KTAS and discover you have drifted 8° right. You correct by flying 100° magnetic heading. Now you are drifting 4° left of your intended course. What are the winds aloft?,112° at 29 KTS,292° at 29 KTS,108° at 36 KTS,288° at 36 KTS,A,112° at 29 KTS,,multiple_choice,,,,Wind correction
38,"The GPS-equipped airplane at the FBO was already rented. Now you're stuck with the old, steam gauge bird with VORs for your cross-country flight. You are 27 DME from RQZ and cross the 190° radial at 1957Z. You cross the 245° radial at 2011Z. What time will you reach your destination if you are flying across the radials towards it? It is 78 statute miles away.",2055.25 Z,2119.0Z,2035.5Z,2049.5Z,D,2049.5Z,,multiple_choice,,,,Time to VOR
39,"You are cruising at 4,500'. The FD forecasts winds as: [[TABLE]] The temperature at 4,500' is -4°C and you are indicating 112 knots. What is your ground speed on a true course of 175°? The local altimeter is 30.15"" Hg.",116 KTS,205 KM/HR,135 MPH,224 KM/HR,D,224 KM/HR,,multiple_choice,,,"{""type"":""table"",""headers"":[""Altitude"",""FD Wind/Temp Code""],""rows"":[[""3000"",""0514-01""],[""6000"",""0934-06""]]}",Wind correction
40,"Your CG is aft of the limit by 1"" at 78"". How many pounds of ballast must you add at station 50, in order to bring the CG forward of the limit by 1""? Your aircraft currently weighs 1,124 KG.",191 LBS,87 LBS,92 LBS,42 LBS,A,191 LBS,,multiple_choice,,,,Weight change
