number,question,choice_a,choice_b,choice_c,choice_d,answer_key,correct_choice,answer_key_type,question_type,choice_e,context,table,problem_type
16,The current METAR winds at KBIL are 160° at 14 knots. You are landing on Runway 10R which has a heading of 101°. What is your headwind component with a variation of 11°E?,10.8 MPH,5.3 MPH,8.3 MPH,9.4 MPH,A,10.8 MPH,HW,multiple_choice,,,,Wind Correction
17,"Two aircraft are on a collision course and will impact without intervention in the next 30 seconds. Aircraft A is flying eastbound at 270 MPH in a descent of 2,100 FPM. Aircraft B is flying westbound at 120 MPH and climbing at 1,500 FPM. What is the precise distance between the two aircraft?","19,815 feet","17,259 feet","19,710 feet","17,160 feet",B,"17,259 feet",converging spd/dist,multiple_choice,,,,Overtaking Aircraft
18,"If Aircraft A abruptly levels off after 10 seconds of closure, how much separation would be created when both aircraft arrive at the original predicted impact point in time?",900 feet,700 feet,500 feet,300 feet,B,700 feet,converging spd/dist,multiple_choice,,"Referenced question 17: Two aircraft are on a collision course and will impact without intervention in the next 30 seconds. Aircraft A is flying eastbound at 270 MPH in a descent of 2,100 FPM. Aircraft B is flying westbound at 120 MPH and climbing at 1,500 FPM. What is the precise distance between the two aircraft?",,Overtaking Aircraft
19,"The differential cabin pressure at 37,000' is 8.3 PSI. An unruly passenger tries to open a 1.0 meter by 1.5 meter plug-type emergency exit door. How many pounds of force would be required to open the door?","23,230 pounds","1,790 pounds","19,280 pounds","5,880 pounds",C,"19,280 pounds",PSI,multiple_choice,,,,Multiplication
20,"You are instructed to fly a holding pattern (a circular racetrack with two 180° turns, a straight inbound and a straight outbound segment). Tracking inbound to a VOR, you reach a point 31 KM away and start the first 180° turn. After the turn, you pass abeam the holding fix traveling outbound and decide to re-center the VOR needle. It now shows a 9° difference from the inbound course. What is the turn radius in the holding pattern?",2.52 nm,2.22 km,"4,440 m",1.26 nm,D,1.26 nm,turn radius,multiple_choice,,,,60:1 Rule
21,How many miles per hour is equivalent to 48 meters per second?,157.5 MPH,107.4 MPH,94.5 MPH,72.8 MPH,B,107.4 MPH,mps - mph,multiple_choice,,,,Conversions
22,"Having flown 230 statute miles at an average ground speed of 138 knots, what is the fuel burn in gallons per hour if the fuel tanks (27 gallons usable) were topped off prior to departure and the quantity currently indicates 1/2 full?",18.6 GPH,14.9 GPH,10.7 GPH,9.3 GPH,D,9.3 GPH,SDT fuel burn,multiple_choice,,,,Division
23,"You are departing New Orleans headed to Gulf Shores, which is a distance of 123 NM along a true course of 084°. Because you will be over water, you want to calculate your equal time point. If the winds are 330° at 22 knots and your true airspeed is 113 knots, how far from Gulf Shores will you be at your equal time point?",56 NM,67 NM,33 NM,28 NM,B,67 NM,ETP,multiple_choice,,,,Equal Time Point
24,"At this point, how long would it take you to fly back to New Orleans?",33 minutes,67 minutes,56 minutes,28 minutes,A,33 minutes,ETP - SDT return,multiple_choice,,"Referenced question 23: You are departing New Orleans headed to Gulf Shores, which is a distance of 123 NM along a true course of 084°. Because you will be over water, you want to calculate your equal time point. If the winds are 330° at 22 knots and your true airspeed is 113 knots, how far from Gulf Shores will you be at your equal time point?",,Equal Time Point
25,"You calculate your weight and balance prior to departure and come up with a gross weight of 2,435 LBS and CG of 18.9"". Just prior to departure, Betty has an extra bag to get added. The new bag weighs 33 LBS and will be in the baggage compartment at 67"". What is the new CG?","17.62""","18.26""","19.54""","20.73""",C,"19.54""",CG add weight,multiple_choice,,,,Weight Change
26,"Reference the previous question. As everyone is loading into your plane there is another problem. Fred was in the back but says he would get airsick unless he is in the front seat. Fred (172 LBS) will trade places with Betty (117 LBS) and moves from the back seat (45"") to the front seat (12""). What is the final CG?","19.64""","20.28""","18.80""","18.16""",C,"18.80""",CG shift,multiple_choice,,"Referenced question 25: You calculate your weight and balance prior to departure and come up with a gross weight of 2,435 LBS and CG of 18.9"". Just prior to departure, Betty has an extra bag to get added. The new bag weighs 33 LBS and will be in the baggage compartment at 67"". What is the new CG?",,Weight Shift
27,"You are about to depart your home airport 608' MSL. Local altimeter setting is 29.64"" Hg and the temperature is 84°F. What is the density altitude?","2,813'","1,463'",942',888',A,"2,813'",Density altitude,multiple_choice,,,,Miscellaneous
28,How much does 12 liters of Avgas weigh?,24.2 pounds,19 kilograms,19 pounds,42 kilograms,C,19 pounds,conversion - fuel weight,multiple_choice,,,,Conversions
29,"Given the following conditions, what is your true airspeed? Cruising altitude = 9,500' MSL; [[NEXT_LINE]] True Course = 205°; [[NEXT_LINE]] Indicated airspeed = 124 knots; [[NEXT_LINE]] OAT = -12°C; [[NEXT_LINE]] Altimeter setting = 30.22"" Hg.",110 knots,161 MPH,127 knots,140 MPH,B,161 MPH,IAS to TAS,multiple_choice,,,,Conversions
30,"If bank angle is increased from 45° to 60°, by what percentage would load factor increase?",15%,33%,42%,70%,C,42%,load factor,multiple_choice,,,,Miscellaneous
31,"You are asked to loiter over a field for 30 minutes so your friend can take some pictures of his crops. If the field is located 85 nautical miles away on a 225° course from your airport and you plan a TAS of 92 knots, how much fuel must you carry to accomplish this and land with a 30-minute reserve assuming you burn 7.3 GPH and the winds are from 260° at 14 knots?",21.05 gallons,17.4 gallons,13.8 gallons,9.75 gallons,A,21.05 gallons,SDT fuel,multiple_choice,,,,Wind Correction
32,"You are coming home on your long solo cross-country flight while working towards your Private Pilot certificate. You end up flying over an airport that is 3.4 nautical miles left of your intended course. If you have covered 48% of the 153 NM flight, what correction angle must you turn to arrive on course 10 nautical miles prior to your destination?",2.8°,5.7°,4.2°,9.5°,B,5.7°,off-course correct,multiple_choice,,,,Off-Course
33,"You are arriving into Jackson Hole, WY (elev. 6,451') and in the event of a go-around you must be able to maintain a minimum climb of 255 ft/nm. If your approach speed is 136 knots and you maintain this speed on a go-around, what minimum rate of climb is required to meet this climb gradient? Assume calm wind.",1362 FPM,1125 FPM,814 FPM,578 FPM,D,578 FPM,climb gradient,multiple_choice,,,,Climb Gradient
34,"You loaded up your plane for a short sightseeing flight for the eclipse last month. Unfortunately, you were slightly aft of your CG limit. If you switch the 240-pound rear seat (station 115) passenger with the 185-pound front seat (station 72) passenger, how much will your CG shift if your aircraft weighs 3,100 pounds?","1.33""","1.17""","0.89""","0.76""",D,"0.76""",CG shift,multiple_choice,,,,Weight Shift
35,"On a cross-country flight you decide to figure out what the actual winds aloft are, so you fly due north and notice that you are drifting 5° to the right. You then fly due east and notice that you are drifting 3° to the left. If your ground speed was 95 knots in both cases, what are the winds aloft?",233° at 10 knots,328° at 11 knots,053° at 10 knots,207° at 11 knots,A,233° at 10 knots,double drift,multiple_choice,,,,Wind Correction
36,Which appropriate VFR cruising altitude (outbound/inbound) would allow you to fly the furthest before needing to turn back? Assume climbs and descents have negligible effect.,"6,500' / 5,500'","5,500' / 6,500'","6,500' / 7,500'","4,500' / 5,500'",D,"4,500' / 5,500'",trip - radius of action,multiple_choice,,"Use the following information for questions 36-40. Fuel on board: 74 gallons usable. Outbound true course: 340°. Cruise: 148 KTAS, 45.4 liters per hour. Variation: 9°E. Deviation: +3°. [[TABLE]]",Altitude | Winds aloft [[NEXT_LINE]] 3000 | 1241 [[NEXT_LINE]] 6000 | 1521+05 [[NEXT_LINE]] 9000 | 1734+00,Radius of Action
37,"What is your time to turn based on cruising at the optimal cruising altitudes, including VFR fuel reserves?",2:21:15,2:14:47,2:08:58,2:01:24,A,2:21:15,trip - time to turn,multiple_choice,,"Use the following information for questions 36-40. Fuel on board: 74 gallons usable. Outbound true course: 340°. Cruise: 148 KTAS, 45.4 liters per hour. Variation: 9°E. Deviation: +3°. [[TABLE]]",Altitude | Winds aloft [[NEXT_LINE]] 3000 | 1241 [[NEXT_LINE]] 6000 | 1521+05 [[NEXT_LINE]] 9000 | 1734+00,Radius of Action
38,"During the outbound leg, you drift 4.7 statute miles off course to the left. What heading do you turn to in order to fly directly back to where you departed?",172°,143°,156°,150°,C,156°,trip - offcourse correct,multiple_choice,,"Use the following information for questions 36-40. Fuel on board: 74 gallons usable. Outbound true course: 340°. Cruise: 148 KTAS, 45.4 liters per hour. Variation: 9°E. Deviation: +3°. [[TABLE]]",Altitude | Winds aloft [[NEXT_LINE]] 3000 | 1241 [[NEXT_LINE]] 6000 | 1521+05 [[NEXT_LINE]] 9000 | 1734+00,Off-Course
39,How many liters of Avgas do you burn on this flight?,246.1,257.4,280.1,213.9,B,257.4,trip - fuel burn,multiple_choice,,"Use the following information for questions 36-40. Fuel on board: 74 gallons usable. Outbound true course: 340°. Cruise: 148 KTAS, 45.4 liters per hour. Variation: 9°E. Deviation: +3°. [[TABLE]]",Altitude | Winds aloft [[NEXT_LINE]] 3000 | 1241 [[NEXT_LINE]] 6000 | 1521+05 [[NEXT_LINE]] 9000 | 1734+00,Time Problems with Hours/Min/Sec
40,What is your magnetic heading on the outbound leg?,354°,345°,339°,336°,D,336°,trip - heading,multiple_choice,,"Use the following information for questions 36-40. Fuel on board: 74 gallons usable. Outbound true course: 340°. Cruise: 148 KTAS, 45.4 liters per hour. Variation: 9°E. Deviation: +3°. [[TABLE]]",Altitude | Winds aloft [[NEXT_LINE]] 3000 | 1241 [[NEXT_LINE]] 6000 | 1521+05 [[NEXT_LINE]] 9000 | 1734+00,Courses and Headings
