number,question,choice_a,choice_b,choice_c,choice_d,answer_key,correct_choice,answer_key_type,question_type,choice_e,context,table
18,"You are planning a flight to another airport when you discover a new restricted area has been established. It lies directly in your path, 74 nautical miles away. The area occupies the airspace from ground level up to, but not including, FL290. If the departure airport's field elevation is 2000 ft, will you be able to climb to FL290 without violating the restricted area? Assume no wind. Climb capability: [[NEXT_LINE]] Departure airport to 8000': 1500 fpm at 130 KTAS [[NEXT_LINE]] 8000' to FL180: 900 fpm at 120 KTAS [[NEXT_LINE]] FL180 to FL 290: 500 fpm at 110 KTAS","Yes, you'll reach FL290 about 3 NM before the restricted area","No, you'll reach FL290 about 3 NM after entering the restricted area","Yes, you'll reach FL290 and cross the lateral limit at the same time","No, you'll reach FL290 about 12 NM after entering the restricted area",A,"Yes, you'll reach FL290 about 3 NM before the restricted area",,multiple_choice,,,
19,You are tracking inbound to the PSI VORTAC on the 090° radial. You turn right to a magnetic heading of 290°. After flying 20 NM you turn the OBS and center the needle. It shows you on the 070° radial. How far from PSI are you? Assume no wind.,20 SM,23 SM,26 SM,Can't be determined,B,23 SM,,multiple_choice,,,
20,"You are flying around the OOD VORTAC and note 13° of bearing change in 5 minutes. If your groundspeed is 92 mph, how far from the station are you?",30.7 NM,35.4 NM,23.9 NM,20.8 NM,A,30.7 NM,,multiple_choice,,,
21,Refer to the previous problem. How long would in take you to get to OOD if the wind is calm?,7.7 minutes,15.6 minutes,23.2 minutes,30.8 minutes,C,23.2 minutes,,multiple_choice,,"Referenced question 20: You are flying around the OOD VORTAC and note 13° of bearing change in 5 minutes. If your groundspeed is 92 mph, how far from the station are you?",
22,"You are enroute to your grass strip at a cruising altitude of 12,500 ft. where the OAT is -20°C. CAS is 127 knots and the local altimeter setting is 29.42. Fuel on board is 33 gal burning at a rate of 12 gph. Winds are 290@17 knots. Just then you look down and notice the KDAY airport below you. You know KDAY is 110 NM from your grass strip. Assuming you hold a TC of 310°, how far from KDAY will you be when the time to continue to the grass strip equals the time to turn back and fly to KDAY?",55 NM,67 NM,61 NM,58 NM,C,61 NM,,multiple_choice,,,
23,"Refer to the previous problem. If you continued to the grass strip, how much fuel did you burn after passing KDAY? Disregard descent performance changes.",5.9 gal,9.7 gal,11.9 gal,8.2 gal,B,9.7 gal,,multiple_choice,,"Referenced question 22: You are enroute to your grass strip at a cruising altitude of 12,500 ft. where the OAT is -20°C. CAS is 127 knots and the local altimeter setting is 29.42. Fuel on board is 33 gal burning at a rate of 12 gph. Winds are 290@17 knots. Just then you look down and notice the KDAY airport below you. You know KDAY is 110 NM from your grass strip. Assuming you hold a TC of 310°, how far from KDAY will you be when the time to continue to the grass strip equals the time to turn back and fly to KDAY?",
24,"An airplane is experiencing an 8° bearing change every 47 seconds. If it is 26 SM from the station, how long will it take to reach the station?",4 minutes 36 seconds,5 minutes 51 seconds,6 minutes 7 seconds,35 minutes 20 seconds,B,5 minutes 51 seconds,,multiple_choice,,,
25,"Two aircraft fly over the same VOR at the same time at different altitudes. Aircraft Alpha flies outbound on the 283° radial and aircraft Bravo flies outbound on the 037° radial. At the time aircraft Alpha is reading 40 DME, aircraft Bravo is reading 35 DME. At this point, how far apart are the aircraft from each other? Disregard slant range error.",63 NM,75 NM,53 NM,68 NM,A,63 NM,,multiple_choice,,,
26,"To comply with the runway 15 departure procedure, an aircraft must maintain 350 fpnm during the climb. The procedure says to depart runway heading until reaching 8000 ft. Field elevation is 750 ft. Climb TAS is 90 mph. The winds remain a constant 180@30 kts magnetic. Assuming the pilot stays on the assigned heading, what is the minimum climb rate needed to comply?",525 fpm,315 fpm,386 fpm,456 fpm,B,315 fpm,,multiple_choice,,,
27,What is the drift angle the pilot will be experiencing?,8° R,11° L,16° L,16° R,D,16° R,,multiple_choice,,"Referenced question 26: To comply with the runway 15 departure procedure, an aircraft must maintain 350 fpnm during the climb. The procedure says to depart runway heading until reaching 8000 ft. Field elevation is 750 ft. Climb TAS is 90 mph. The winds remain a constant 180@30 kts magnetic. Assuming the pilot stays on the assigned heading, what is the minimum climb rate needed to comply? [[DIVIDER]] Refer to the previous problem. Upon liftoff the aircraft begins to drift because of the wind.",
28,"Pertaining to problem #26, how far has the aircraft traveled from the airport when it reaches 8000 ft?",16.4 NM,25.5 NM,20.7 NM,30.0 NM,C,20.7 NM,,multiple_choice,,"Referenced question 26: To comply with the runway 15 departure procedure, an aircraft must maintain 350 fpnm during the climb. The procedure says to depart runway heading until reaching 8000 ft. Field elevation is 750 ft. Climb TAS is 90 mph. The winds remain a constant 180@30 kts magnetic. Assuming the pilot stays on the assigned heading, what is the minimum climb rate needed to comply?",
29,"Pressure altitude is 9500 feet. OAT is -25°C. If calibrated altitude is 10,000 feet, what is the true altitude?","12,600 ft.","12,150 ft.","11,100 ft.","9,200 ft.",D,"9,200 ft.",,multiple_choice,,,
30,"There you are flying along at cruise altitude. Your First Officer decides to ask you, ""Say, what amount of temperature rise is the temp probe experiencing?"" You know the TAS is 315 knots and the probe's recovery coefficient is 1.0. Your trusty manual flight computer is hanging around your neck. You quickly give it a spin and answer:",5°C,9°C,13°C,I need more information to answer that!,C,13°C,,multiple_choice,,,
31,"Your CAS is 500 knots at FL230. Temperature at altitude is not standard. Taking into account compressibility, what is your mach number?",.8 mach,.9 mach,1.1 mach,1.2 mach,C,1.1 mach,,multiple_choice,,,
32,You fly 1.8 km in 25 seconds. What is your groundspeed?,236 feet per second,438 feet per second,380 feet per second,523 feet per second,A,236 feet per second,,multiple_choice,,,
33,"You are in the maintenance hanger and want to help the mechanics compute an aircraft's CG. They put the aircraft on 3 scales and note the following: [[NEXT_LINE]] Nose Gear: 170 lbs at station 15"" [[NEXT_LINE]] Left Main: 650 kg at station 90"" [[NEXT_LINE]] Right Main: 600 kg at station 90"" [[NEXT_LINE]] What is CG?",142 cm,206 cm,217 cm,236 cm,C,217 cm,,multiple_choice,,,
34,"Pertaining to the previous question, if TEMAC is located at station 114 and the mean aerodynamic chord is 37 inches long, what is the CG in percent MAC?",21.60%,32.50%,38.60%,78.40%,A,21.60%,,multiple_choice,,"Referenced question 33: You are in the maintenance hanger and want to help the mechanics compute an aircraft's CG. They put the aircraft on 3 scales and note the following: [[NEXT_LINE]] Nose Gear: 170 lbs at station 15"" [[NEXT_LINE]] Left Main: 650 kg at station 90"" [[NEXT_LINE]] Right Main: 600 kg at station 90"" [[NEXT_LINE]] What is CG?",
35,"You are climbing 165 meters every 3 sm. You will be leveling off at 9,500 ft. The GPS says it will take 18 minutes to reach altitude. If the departure airport's elevation is 1,500 ft., what is your groundspeed?",84 kts,149 kts,73 kts,128 kts.,D,128 kts.,,multiple_choice,,,
36,"If OAT is 15°C and pressure altitude is 9000 ft., what is density altitude? (Provide an answer to nearest whole number)",,,,,"10,500 - 11,500 ft.","10,500 - 11,500 ft.",,fill_in_blank,,,
37,305 statute miles equals how many kilometers? (Provide an answer to nearest whole number),,,,,490 - 493 km,490 - 493 km,,fill_in_blank,,,
38,How much does 412 liters of oil weigh in kilograms? (Provide an answer to nearest whole number),,,,,367 - 373 kg,367 - 373 kg,,fill_in_blank,,,
39,A burn rate of 26 gph is how many liters per minute? (Provide an answer to nearest 1/100 liter),,,,,1.60 - 1.68 lpm,1.60 - 1.68 lpm,,fill_in_blank,,,
40,"If one US gal of water weighs 8.35 lbs, then how much does 300 quarts of water weigh in kilograms?",,,,,282 - 286 kg,282 - 286 kg,,fill_in_blank,,,
41,The altimeter setting is 1026.1 millibars. What is this in hectopascals to the nearest 1/10 of a millibar?,,,,,1026.1 hPa,1026.1 hPa,,fill_in_blank,,,
42,113 kmph equals how many meters per second? (Provide an answer to nearest 1/100 m/sec),,,,,31.20 - 31.60 ms,31.20 - 31.60 ms,,fill_in_blank,,,
43,What is the square root of 538? (Provide an answer to nearest 1/10),,,,,23.1 - 23.3,23.1 - 23.3,,fill_in_blank,,,
44,Convert 102°F to Celsius. (Provide an answer to nearest 1/10 of a °C),,,,,38.5 - 39.5°C,38.5 - 39.5°C,,fill_in_blank,,,
45,5616 minutes is how many days? (Provide an answer to nearest 1/10 of a day),,,,,3.80 - 4.00 days,3.80 - 4.00 days,,fill_in_blank,,,
