number,question,choice_a,choice_b,choice_c,choice_d,answer_key,correct_choice,answer_key_type,question_type,choice_e,context,table
11,"Assuming an average true airspeed of 108 knots from the beginning and average winds of 040@28 miles per hour, what time would you need to be underway in order to cross over the center of the TFR before it becomes active?",1206Z,1224Z,1248Z,1302Z,A,1206Z,,multiple_choice,,"In the preflight briefing for your upcoming 328 statute mile cross country trip you learn that there will be a TFR directly under your true course of 332 degrees. The center of the TFR will be located 185 nautical miles along your route. The TFR is 5 nautical miles across, from the surface to 7,000 feet, and will be active from 1400Z to 1600Z. Use this information to answer the next 7 questions.",
12,"External factors complicate your plans and you depart a few minutes later than you would have preferred. Crossing 50 nautical miles from your departure point, you realize that you're not going to get to the TFR before it becomes active, so you'll need to steer around it. How many degrees do you need to steer to miss the TFR by one nautical mile?",1.4° left,1.6° left,1.8° left,2.0° left,B,1.6° left,,multiple_choice,,"In the preflight briefing for your upcoming 328 statute mile cross country trip you learn that there will be a TFR directly under your true course of 332 degrees. The center of the TFR will be located 185 nautical miles along your route. The TFR is 5 nautical miles across, from the surface to 7,000 feet, and will be active from 1400Z to 1600Z. Use this information to answer the next 7 questions.",
13,Being a proactive pilot you also decide to calculate how much you will have to turn back to the right after crossing one nautical mile to the left of the TFR so that you can proceed directly to your destination. How many degrees will you need to turn after passing the TFR?,2.1°,2.6°,3.1°,3.7°,D,3.7°,,multiple_choice,,"In the preflight briefing for your upcoming 328 statute mile cross country trip you learn that there will be a TFR directly under your true course of 332 degrees. The center of the TFR will be located 185 nautical miles along your route. The TFR is 5 nautical miles across, from the surface to 7,000 feet, and will be active from 1400Z to 1600Z. Use this information to answer the next 7 questions.",
14,"Unfortunately, through a bit of bureaucratic kerfuffle, one of the enforcement agencies interprets the size of the TFR to be larger than originally briefed to you. When you pass just to the left of what you thought was the boundary, the alarm bells go off and they scramble two interceptors. The first interceptor is a fighter jet that will fly from his base directly to where he thinks you'll be at the point of intercept (since you are flying in a straight line). The second interceptor is a helicopter that will depart from a different base and do the same. The helicopter has a cruise speed of 85 knots and has to travel 70 statute miles on a course of 225° to get to his intercept point. Wind at his altitude is 050@15 knots. How long will it take for him to reach his intercept point?",34.3 minutes,0.59 hours,36.8 minutes,"2,058 seconds",C,36.8 minutes,,multiple_choice,,"In the preflight briefing for your upcoming 328 statute mile cross country trip you learn that there will be a TFR directly under your true course of 332 degrees. The center of the TFR will be located 185 nautical miles along your route. The TFR is 5 nautical miles across, from the surface to 7,000 feet, and will be active from 1400Z to 1600Z. Use this information to answer the next 7 questions.",
15,"The fighter has an average speed of 582 knots and has to travel 304 nautical miles to his intercept point. He'll climb at 5,800 feet per minute from sea level to 17,000 feet. How long will that climb take?",93 seconds,2 minutes 56 seconds,0.4 hours,204 seconds,B,2 minutes 56 seconds,,multiple_choice,,"In the preflight briefing for your upcoming 328 statute mile cross country trip you learn that there will be a TFR directly under your true course of 332 degrees. The center of the TFR will be located 185 nautical miles along your route. The TFR is 5 nautical miles across, from the surface to 7,000 feet, and will be active from 1400Z to 1600Z. Use this information to answer the next 7 questions.",
16,"If the fighter's average wind is 010@52 miles per hour and course to the intercept point is 046°, using the information from the previous question and an average cost of $13,500 per hour, what is the taxpayer expense for him to get to the intercept point?",$3340,$5275,$6448,$7530,D,$7530,,multiple_choice,,"In the preflight briefing for your upcoming 328 statute mile cross country trip you learn that there will be a TFR directly under your true course of 332 degrees. The center of the TFR will be located 185 nautical miles along your route. The TFR is 5 nautical miles across, from the surface to 7,000 feet, and will be active from 1400Z to 1600Z. Use this information to answer the next 7 questions. [[DIVIDER]] Referenced question 15: The fighter has an average speed of 582 knots and has to travel 304 nautical miles to his intercept point. He'll climb at 5,800 feet per minute from sea level to 17,000 feet. How long will that climb take?",
17,"While you're on the ground with the escorts waiting for the police to arrive, you try to relax by working some flight computer questions. What was the density altitude at the top of the TFR if the OAT was 9° Celsius and the altimeter setting was 29.42?",9000 feet,8750 feet,8500 feet,7500 feet,C,8500 feet,,multiple_choice,,"In the preflight briefing for your upcoming 328 statute mile cross country trip you learn that there will be a TFR directly under your true course of 332 degrees. The center of the TFR will be located 185 nautical miles along your route. The TFR is 5 nautical miles across, from the surface to 7,000 feet, and will be active from 1400Z to 1600Z. Use this information to answer the next 7 questions.",
18,"Assume a constant ground speed of 250 kts. You are flying a STAR that requires you to cross SOMTO at 11,000' MSL and DYLAN at 8,000' MSL. The two fixes are 13 NM apart. If you are cruising at FL380, at what distance from SOMTO and at what descent rate will you need to begin descending in order to achieve a constant descent angle and meet both crossing restrictions.","117 NM; 1,068 feet/min.",135 SM; 293 meters/min.,130 NM; 962 feet/min,150 SM; 326 meters/min.,B,135 SM; 293 meters/min.,,multiple_choice,,,
19,"Your crazy Uncle Bernie is building his own aircraft. The fuel system is a bit complicated though. It is made of one 55 gallon drum, six 4.5L carboys, and a container that used to hold 17.8 imperial gallons of imported hot pepper relish. What is the estimated range in still air if the aircraft will burn 12.6 gph and cruise at 144 knots? Include the required FAA minimum 30 minute reserve.",954 NM,"1,140 NM",882 NM,"1,069 NM",C,882 NM,,multiple_choice,,,
20,"On a local flight, the winds aloft at 3000' are 096 at 32 kts and 6000' are 119 at 38 kts. If you are cruising at 3,500' with 1 hour and 55 minutes of fuel onboard on a TC of 013 and KTAS of 98 kts, what is your time to turn?",51 minutes,55 minutes,0.98 hours,1.09 hours,C,0.98 hours,,multiple_choice,,,
21,"Referencing the above question, what is your radius of action?",89.5 nm,103.5 nm,111 sm,95.5 nm,A,89.5 nm,,multiple_choice,,"Referenced question 20: On a local flight, the winds aloft at 3000' are 096 at 32 kts and 6000' are 119 at 38 kts. If you are cruising at 3,500' with 1 hour and 55 minutes of fuel onboard on a TC of 013 and KTAS of 98 kts, what is your time to turn?",
22,"During preflight, you notice a small oil leak. You estimate that it is leaking at 2.7 pph. Before takeoff, you top off the oil at 6 quarts. The aircraft is fueled with 77 usable gallons of 100LL aviation gasoline. Your preflight planning indicates that you will burn 107.1 pph for the flight. Will you run out of gas or oil first? How much remaining fluid will be left once the other is exhausted?",Gas; 2.6 qts. oil,Oil; .42 gallons av gas,Gas; .42 qts. oil,Oil; 2.6 gallons av gas,D,Oil; 2.6 gallons av gas,,multiple_choice,,,
23,"A swimming pool 50 meters long and 25 meters wide has 2,022 pints of water in it. If a gallon of water weighs approximately 8.4 pounds, how much does the water in the swimming pool weigh?","2,123 lbs.","2,528 lbs.","4,246 lbs.","1,062 lbs.",A,"2,123 lbs.",,multiple_choice,,,
24,"At FL350, 178 nm from HEVAN, you are told to descend at pilot's discretion to cross HEVAN at 17,000'. You plan to maintain a 3.5° descent angle at a ground speed of 410 knots. How long will you be descending?",26 minutes,48.5 nm,51.4 nm,7.5 minutes,D,7.5 minutes,,multiple_choice,,,
25,524 knots is equivalent to how many meters per second?,204,345,970,269,D,269,,multiple_choice,,,
26,"How much AVGAS (station 79) has an airplane burned off that had a gross takeoff weight of 4,784 lbs. if the CG was 75.1"" on takeoff and 74.8"" on landing?",432 pounds,368 pounds,63 gallons,57 gallons,D,57 gallons,,multiple_choice,,,
27,"Larry and Harry are both flying their identical Mooney M-20 airplanes to a local fly-in and compare their headings and courses to find the actual winds aloft at 6,500' MSL. With the same OAT of -9°C and matching indicated airspeed of 135 mph, Larry is flying a magnetic heading 336° to maintain his magnetic course of 330°. Harry is flying a magnetic heading of 043° to maintain his magnetic course of 045°. What are the winds aloft? Altimeter setting is 29.62"" Hg.",210° at 14 knots,030° at 15 knots,016° at 18 knots,350° at 15 knots,B,030° at 15 knots,,multiple_choice,,,
28,"If Harry's sister Mary happens to be flying to the same fly-in and gets the winds relayed to her from Larry, what is Mary's TAS in knots if she calculates that it took 30.5 seconds to cover the last section line or mile over the ground? She is flying a magnetic course of 190°.",77,117,89,104,C,89,,multiple_choice,,,
29,"An aircraft flies east on a DME arc between two VOR radials, 330° and 065°, maintaining a constant 13 nm from the VOR. What is the total distance from starting the arc until crossing the VOR if the aircraft flies inbound on the 065° radial after the arc?",21.8 nm,26.0 nm,34.7 nm,43.8 nm,C,34.7 nm,,multiple_choice,,,
30,A gas turbine engine burns 1600 pounds per hour of jet fuel. How many gallons have gone to the engine after 5 seconds? Assume one gallon equals 6.8 pounds.,0.33,3.25,0.65,6.53,A,0.33,,multiple_choice,,,
31,You are standing at the threshold of runway 16 as a 747 flies overhead. At an approach speed of 152 knots how long does it take the 231-ft long plane to pass by you?,0.59 seconds,1.55 seconds,2.22 seconds,0.91 seconds,D,0.91 seconds,,multiple_choice,,,
32,The AIM states that a microburst downdraft can be as strong as 6000 fpm. What is this velocity in mph?,43,68,91,7,B,68,,multiple_choice,,,
33,"Delivering fish across the Bering Strait you first fly 54 sm west before turning and flying 197 km north west. If it took 3 hrs 17 min to fly, what was your average ground speed?",88 mph,86.5 km/hr,47 mph,51 knots,B,86.5 km/hr,,multiple_choice,,,
34,Find KTAS for an airplane flying at Mach 0.234 at -12°C:,154,373,78,147,D,147,,multiple_choice,,,
35,"Find WCA: Wind: 330° at 30 kts, TAS: 114 kts, TC: 015°",13L,10L,7R,11R,B,10L,,multiple_choice,,,
36,What should your airspeed indicator read if your aircraft crosses 6 nm in 2.7 minutes while flying a true heading of 312° holding a wind correction angle of 10° right? Wind is 020@24 kts. ISA at 4500' MSL.,140 kts,119 kts,131 kts,99 kts,C,131 kts,,multiple_choice,,,
37,"Not considering wind, if you flew between 2 radials in 4 minutes at 105 knots, how long would it take to fly 21 nm directly to the station?",12 min,0.3 min,23 min,26 min,A,12 min,,multiple_choice,,,
38,"Find GS in kts. Wind: 210° at 22 kts, TAS: 97 kts, TC: 177°",116,83,78,92,C,78,,multiple_choice,,,
39,"Find winds. TC: 200°, TAS: 105 kts, GS: 93 kts, TH: 185°, Variation 8W",128° at 29 kts,260° at 21 kts,136° at 19 kts,115° at 31 kts,A,128° at 29 kts,,multiple_choice,,,
40,"For every 4 hours of flying time, your old biplane burns a quart of oil. How many gallons must you add back to the engine after flying 272 nm at 97 KTAS. Wind Calm.",0.135,0.155,0.175,0.195,C,0.175,,multiple_choice,,,
