number,question,choice_a,choice_b,choice_c,choice_d,answer_key,correct_choice,answer_key_type,question_type,choice_e,context,table
24,"TH = 037°, [[NEXT_LINE]] TAS = 127 mph, [[NEXT_LINE]] Wind = 287° at 26 mph. Find true course and ground speed.","053°, 142 mph","045°, 142 knots","041°, 126 kts","047°, 123 kts",D,"047°, 123 kts",,multiple_choice,,,
25,"TC = 341°, [[NEXT_LINE]] GS = 224 mph, [[NEXT_LINE]] Wind = 257° at 41 knots. Find true heading and TAS.","329°, 203 kts","354°, 201 kts","231°, 151 kts","330°, 199 mph 2009 Regional Computer Accuracy Exam",A,"329°, 203 kts",,multiple_choice,,,
26,"TH = 297°, [[NEXT_LINE]] GS = 132 mph, [[NEXT_LINE]] Wind = 007° at 22 knots. Find true course and true airspeed.","281°, 129 mph","287°, 139 mph","278°, 125 mph","291°, 120 knots",B,"287°, 139 mph",,multiple_choice,,,
27,"To maintain a climb rate of 416 feet per statute mile with a ground speed of 102 mph, what is the minimum rate of climb needed in feet per minute?",707,225,379,621,A,707,,multiple_choice,,,
28,"You are flying a double drift at a TAS of 150 mph. 1st true heading is 100°, drift is 4° R. 2nd true heading is 200°, drift is 0°. Find wind direction and velocity.","020°, 10 mph","200°, 10 mph","010°, 20 mph","190°, 20 mph",A,"020°, 10 mph",,multiple_choice,,,
29,"If an aircraft departs an airport with a field elevation of 2,215 feet, and climbs to a cruise altitude of 8,433 feet with an average climb rate of 612 feet per minute, how long will it take to reach the cruise altitude?",11.3 minutes,7.9 minutes,10.2 minutes,14.1 minutes,C,10.2 minutes,,multiple_choice,,,
30,"You are directly flying from airport A to airport B, a distance of 138 statute miles with a magnetic course of 263°. Holding a constant headi ng, you note you are 4 miles north of course after flying 44 sm. What heading correction is needed to fly directly to B, assuming a constant wind?",258°,272°,261°,255°,D,255°,,multiple_choice,,,
31,"You have an average ground speed of 134 knots, and it took you 77 seconds to fly from the outer marker to the middle marker. What is the distance between the two markers?",4.4 nm,1.1 nm,3.3 nm,2.9 nm,D,2.9 nm,,multiple_choice,,,
32,"You need to descend from 9,500 feet to 2,100 feet in 585 seconds. What rate of descent is necessary to meet this requirement?",759 fpm,721 fpm,645 fpm,275 fpm 2009 Regional Computer Accuracy Exam,A,759 fpm,,multiple_choice,,,
33,How many pounds does it take to equal 43 kilograms?,196,95,117,103,B,95,,multiple_choice,,,
34,"Your cruise altitude is 12,500 feet and the traffic pattern altitude is 975 feet. If the descent rate is 510 feet per minute and the average ground speed is 118 mph, the time to descend will be?",23 minutes,20 minutes,32 minutes,26 minutes,A,23 minutes,,multiple_choice,,,
35,How far out from the airport should the descent begin?,28 sm,52 sm,58 sm,44 sm,D,44 sm,,multiple_choice,,"Referenced question 34: Your cruise altitude is 12,500 feet and the traffic pattern altitude is 975 feet. If the descent rate is 510 feet per minute and the average ground speed is 118 mph, the time to descend will be?",
36,"Your clearance requires a minimum rate of climb of 267 feet per nautical mile from 1,500 feet to 11,000 feet. You calculate that your aircraft can maintain a climb rate of 720 feet per minute. This will be enough to meet the climb gradient as long as your groundspeed does not exceed...................... _________________________mph (whole number)",,,,,183 - 189 mph,183 - 189 mph,,fill_in_blank,,,
37,"On a cross-country flight, you discover by pilotage that you are 4 nm off course. The VOR also confirms that you are 5° off course. What is the distance flown? __________________________sm (whole number)",,,,,53 - 57 sm,53 - 57 sm,,fill_in_blank,,,
38,You are landing on RWY16 with a wind from 030° at 23 knots. What are the headwind/tailwind and the crosswind components? ____________________________ kts,,,,,a. 13 - 17 kts TAIL wind b. 15 - 19 kts crosswind,a. 13 - 17 kts TAIL wind b. 15 - 19 kts crosswind,,fill_in_blank,,,
39,"You want to fly a radius of action problem with the following conditions: ground speed out will be 161 mph, and the ground speed back will be 127 mph. You have a total of 62 gallons of fuel on board, and the aircraft burns 12.1 gallons per hour. Determine the distance out. ____________________________ sm",,,,,358 - 366 sm,358 - 366 sm,,fill_in_blank,,,
40,The distance from airport A to airport B is 175 nautical miles. You have flown 102 nautical miles and notice the VOR indicates you are 9.5° right of course. You want to intercept the original course 22.5 nautical miles short of the destination. The original magnetic heading was 010° the new magnetic heading will be? ____________________________ (tenths) 2009 Regional Computer Accuracy Exam,,,,,340.4 - 342.4 deg,340.4 - 342.4 deg,,fill_in_blank,,,
