number,question,choice_a,choice_b,choice_c,choice_d,answer_key,correct_choice,answer_key_type,question_type,choice_e,context,table
14,2784 Imperial gallons of fuel weighs.....,2507 lbs.,23201 lbs.,16704 lbs.,20058 lbs.,D,20058 lbs.,,multiple_choice,,,
15,"You began a trip with full tanks. You've traveled for 2:40:00, and used 21.7 gallons of fuel. With 1:22:00 of flying time remaining, and a ground speed of 141 kts. how much fuel will it take to fill the tanks at the end of the flight-.",32.8 gal.,24.2 gal.,36.8 gal.,13.4 gal.,A,32.8 gal.,,multiple_choice,,,
16,How long will it take to travel 372 statute miles covering 9.5 km per minute?,57 minutes,1 hour 3 minutes,1 hour 9 minutes,1 hour 18 minutes,B,1 hour 3 minutes,,multiple_choice,,,
17,What is your true altitude? Average ground speed: 113 kts. [[NEXT_LINE]] True course: 280°. [[NEXT_LINE]] Wind: 120@12 kts. [[NEXT_LINE]] Indicated altitude: 10.000' [[NEXT_LINE]] Outside air temperature: -10°F Pressure altitude same as indicated,"8,840'","9,125","9,460'","9,312'",D,"9,312'",,multiple_choice,,,
18,"How much fuel will be needed for a flight based on the following data? Given: [[NEXT_LINE]] Fuel consumption: 57.2 pph [[NEXT_LINE]] Wind: 315@14 kts. [[NEXT_LINE]] True course: 132° Trip length: 412 NM [[NEXT_LINE]] Indicated airspeed: 126 kts. [[NEXT_LINE]] Indicated altitude: 6,500' (pressure altitude is the same) [[NEXT_LINE]] Outside air temperature: + 16°C",22.6 gal.,25.1 gal.,26.6 gal.,20.9 gal.,B,25.1 gal.,,multiple_choice,,,
19,What is your wind correction angle? Given: [[NEXT_LINE]] True course: 039°. [[NEXT_LINE]] True airspeed: 198 kts. [[NEXT_LINE]] Wind: 130@18 kts.,7° R,6° L,5° R,4° L,C,5° R,,multiple_choice,,,
20,"Your aircraft is filled with 41 gallons of useable fuel. At 9.65 gallons per hour, how much fuel (useable) will be left if you fly 323 NM in 117 minutes?",22.2 gal.,20.8 gal.,23.7 gal.,19.8 gal.,A,22.2 gal.,,multiple_choice,,,
21,"If an aircraft uses 38.1 gallons of fuel at 10.7 gallons per hour while flying 518 NM, what is its groundspeed?",141 kts.,146 kts.,173 mph,151 kts.,B,146 kts.,,multiple_choice,,,
22,"To maintain a climb rate of 521 ft. per nautical mile at a groundspeed of 107 kts., what minimum vertical rate of climb will you need?",874 ft./min.,976 ft./min.,929 ft./min.,"1,012 ft./min.",C,929 ft./min.,,multiple_choice,,,
23,"You depart an airport with an elevation of 1023'. At an average rate of climb of 678 ft./min., how long will it take to climb to an altitude of 9,500' at a groundspeed of 94 kts?",12.1 min.,12.5 min.,13.1 min.,11.8 min.,B,12.5 min.,,multiple_choice,,,
24,The distance between two checkpoints Is 18 NM. You cross the first checkpoint at 10:11. At 10:17 you cross checkpoint #2. The remaining trip distance is 175 NM. What will be your ETA based on your computed groundspeed?,11:09,11:02,11:19,11:15,D,11:15,,multiple_choice,,,
25,How much will remain upon landing?,18.5 gal.,37.6 gal.,27.5 gal.,32.6 gal.,B,37.6 gal.,,multiple_choice,,Referenced question 24: The distance between two checkpoints Is 18 NM. You cross the first checkpoint at 10:11. At 10:17 you cross checkpoint #2. The remaining trip distance is 175 NM. What will be your ETA based on your computed groundspeed? [[DIVIDER]] Refer to the previous question to answer t he following: You've traveled 87 NM upon crossing checkpoint #2 and used 9.1 gallons of fuel. You departed with 65 gallons of useable fuel.,
26,"What is the density altitude? Given: [[NEXT_LINE]] Airport elevation: 4,650' [[NEXT_LINE]] Air temperature: 77°F [[NEXT_LINE]] Altimeter setting: 29.37","7,620'","7,900'","6,780'","6,330'",B,"7,900'",,multiple_choice,,,
27,"Your aircraft travels 13.1 NM per gallon of fuel. At a true airspeed of 206 knots, how many gallons per hour does it burn? (no wind)",15.2 gph,15.7 gph,16.1 gph,16.3 gph,B,15.7 gph,,multiple_choice,,,
28,You cross the 087- radial from the DJB VOR at 11:15. You cross the 101- radial at 11:19:30. How many minutes flying time are you from the VOR at a groundspeed of 146 kts?,20 minutes 23 seconds,18 minutes 47 seconds,20 minutes 59 seconds,19 minutes 18 seconds,D,19 minutes 18 seconds,,multiple_choice,,,
29,How many miles are you from the VOR?,46.9 nm,43.2 nm,44.8 nm,47.8 nm,A,46.9 nm,,multiple_choice,,Referenced question 28: You cross the 087- radial from the DJB VOR at 11:15. You cross the 101- radial at 11:19:30. How many minutes flying time are you from the VOR at a groundspeed of 146 kts?,
30,"Based on the following data. how far can you fly and still have 30 minutes of useable fuel remaining? Given: [[NEXT_LINE]] True course: 175° [[NEXT_LINE]] Outside air temperature: -11°C [[NEXT_LINE]] Fuel consumption: 13.4 gph [[NEXT_LINE]] Wind: 060@17 kts. [[NEXT_LINE]] Press. Altitude: 7,500' [[NEXT_LINE]] Indicated airspeed: 164 kts. [[NEXT_LINE]] Useable fuel: 53.0 gal.",646 nm,687 nm,732 nm,622 nm,A,646 nm,,multiple_choice,,,
31,What is your groundspeed in the preceding problem?,181 kts.,189 kts.,207 mph,185 kts.,D,185 kts.,,multiple_choice,,"Referenced question 30: Based on the following data. how far can you fly and still have 30 minutes of useable fuel remaining? Given: [[NEXT_LINE]] True course: 175° [[NEXT_LINE]] Outside air temperature: -11°C [[NEXT_LINE]] Fuel consumption: 13.4 gph [[NEXT_LINE]] Wind: 060@17 kts. [[NEXT_LINE]] Press. Altitude: 7,500' [[NEXT_LINE]] Indicated airspeed: 164 kts. [[NEXT_LINE]] Useable fuel: 53.0 gal.",
32,What is the wind speed at your altitude? Given: [[NEXT_LINE]] Magnetic heading: 228° [[NEXT_LINE]] Variation: 7° E [[NEXT_LINE]] True Track: 231° [[NEXT_LINE]] Deviation: + 10? [[NEXT_LINE]] Groundspeed: 132 kts. [[NEXT_LINE]] True airspeed: 155 kts,25 kts,19 kts.,15 kts.,29 kts.,A,25 kts,,multiple_choice,,,
33,"In the previous question, what direction are the winds from?",249°,259°,254°,263°,C,254°,,multiple_choice,,Referenced question 32: What is the wind speed at your altitude? Given: [[NEXT_LINE]] Magnetic heading: 228° [[NEXT_LINE]] Variation: 7° E [[NEXT_LINE]] True Track: 231° [[NEXT_LINE]] Deviation: + 10? [[NEXT_LINE]] Groundspeed: 132 kts. [[NEXT_LINE]] True airspeed: 155 kts,
34,How far will you travel in 4:09:00 at an average groundspeed of 121 kts?,512 nm,492 nm,522 nm,502 nm,D,502 nm,,multiple_choice,,,
35,"An aircraft flies to a destination 297 NM away. at a true airspeed of 109 kts. With 48.5 gallons of useable fuel, at an average rate of 11.5 gph, how long can the aircraft stay aloft over the destination airport and still have 30 minutes of fuel left? (Assume NO WIND)",60 min.,56 min.,68 min.,89 min.,A,60 min.,,multiple_choice,,,
36,What is the wind correction angle? Given: [[NEXT_LINE]] Wind: 145@28 kts. [[NEXT_LINE]] True course: 199° [[NEXT_LINE]] True airspeed: 131 kts.,9° R,10° L,8° L,11° R,B,10° L,,multiple_choice,,,
37,"Based on question #36, what would your m agnetic heading be if the magnetic variation was 9° E?",171°,162-,189°,180°,D,180°,,multiple_choice,,Referenced question 36: What is the wind correction angle? Given: [[NEXT_LINE]] Wind: 145@28 kts. [[NEXT_LINE]] True course: 199° [[NEXT_LINE]] True airspeed: 131 kts.,
38,"What is the density altitude? Given: [[NEXT_LINE]] Field elevation: 3,750 Altimeter 29.91"" Air temperature 92°F","7,100'","6,100'","6,600'","7,300'",C,"6,600'",,multiple_choice,,,
39,"To clear an obstacle 3.4 NM from the runway end you determine that you will need to climb 425' for every nautical mile you travel. At a ground speed of 77 kts., what must your MINIMUM vertical rate of climb be?",545 fpm,521 fpm,567 fpm,515 fpm,A,545 fpm,,multiple_choice,,,
40,"What is your true altitude? Given: [[NEXT_LINE]] Pressure altitude: 12,500' [[NEXT_LINE]] Calibrated altitude: 12,500' [[NEXT_LINE]] Outside air temperature: -12°C","12,700'","11,950'","12,240'","12,400'",D,"12,400'",,multiple_choice,,,
