number,question,choice_a,choice_b,choice_c,choice_d,answer_key,correct_choice,answer_key_type,question_type,choice_e,context,table
12,"You are 22 NM from a VOR. With a groundspeed 200 km/hr, how long does it take to travel clockwise from radial 090° to radial 120°?",3.3 minutes,4.5 minutes,5.2 minutes,6.1 minutes,D,6.1 minutes,,multiple_choice,,,
13,"If the time between two radials clockwise, 320° and 015°, is 4:37 and the distance to the VOR is 12 NM, what is the groundspeed between the radials?",152 km/hr,159 knots,164 mph,191 km/hr,C,164 mph,,multiple_choice,,,
14,"One evening, you are flying with a groundspeed of 120 knots, an indicated airspeed of 120 knots, OAT is -40°C, and at a pressure altitude of 7500 ft. If the winds aloft are 170° at 20 knots and the wind correction angle is to the right, what is the true course and the true heading?",True course = 90° and True heading = 81°,True course = 99° and True heading = 90°,True course = 90° and True heading = 99°,True course = 81° and True heading = 90°,C,True course = 90° and True heading = 99°,,multiple_choice,,,
15,"You are told that you are flying at 0.42M with an OAT of -20°F at FL310 and 29.92"" Hg for an altimeter setting in your area. What is the true airspeed and how much slower than 1.00M are you flying?",475 mph true airspeed and 294 km/hr slower than 1.00M,256 mph true airspeed and 346 mph slower than 1.00M,475 km/hr true airspeed and 655 km/hr slower than 1.00M,294 mph true airspeed and 398 km/hr slower than 1.00M,C,475 km/hr true airspeed and 655 km/hr slower than 1.00M,,multiple_choice,,,
16,"If the OAT is -22°F, your indicated altitude is 6400 ft, and your true altitude is 6600 ft, what is the pressure altitude (PA) and density altitude (DA)?",27000 feet PA and 27500 feet DA,2700 feet PA and -2200 feet DA,24500 feet PA and 22000 feet DA,5600 feet PA and 1300 feet DA,A,27000 feet PA and 27500 feet DA,,multiple_choice,,,
17,"Given the calibrated altitude is 17,000 ft, the pressure altitude is 18,000 ft, and the OAT is -05°C, what is the true altitude?","23,200 feet","12,450 feet","18,100 feet","15,150 feet",C,"18,100 feet",,multiple_choice,,,
18,"You are cruising at an IAS/CAS of 300 km/hr. The OAT is +20°F. The pressure altitude is 10,000 ft. What is your TAS?",348 mph,216 mph,258 km/hr,258 mph,B,216 mph,,multiple_choice,,,
19,"On another afternoon, you are flying a true heading of 270°. You measure your wind drift to be 4° L. On another true heading of 030°, you measure your wind drift to be 6° R. With a TAS of 140 kts, what are the winds aloft?",130° at 16 knots,221° at 19 knots,307° at 15 knots,004° at 23 knots,C,307° at 15 knots,,multiple_choice,,,
20,"You have 20 Imp. Gallons onboard and burn fuel at 5.8 US Gal./hr. The winds aloft are 220° at 22 kts. You sustain a 144 KTAS. You are on a true course of 100° out and 280° back. If you need 45 minutes reserve fuel upon returning to your base, how far out can you travel before having to return to base?",118 minutes,111 minutes,102 minutes,95 minutes,D,95 minutes,,multiple_choice,,,
21,"Your instructor tells you that you are given a true airspeed of 210 kts, winds aloft of 040° at 32 kts, and on a true course of 196° out. You also have 80 liters of fuel, burn 7.7 US Gallon per hour, and require a 30 minute fuel reserve. How far can you travel outbound before having to return to base?",52 minutes,59 minutes,65 minutes,72 minutes,B,59 minutes,,multiple_choice,,,
22,"The altimeter setting in your area is 30.87"" Hg. Your current indicated altitude is 7500 ft with an OAT of -20°C. You travel a couple of hundred miles to another area where the new altimeter setting is 29.67"" Hg. and an OAT of +20°C. How much does your true altitude change when traveling between the first area to the second area?",increased by 1150 feet,increased by 750 feet,decreased by 250 feet,decreased by 1050 feet,A,increased by 1150 feet,,multiple_choice,,,
23,"You are flying a large aircraft weighing 125,000 kg. A pallet of cargo (1300 lbs) is removed from station 250. If this results in a aft movement of the CG of 2.2 inches, what is the original and new CG?",Original CG at station 203.5 and new CG at station 205.7,Original CG at station 465 and new CG at station 467.2,Original CG at station 715 and new CG at station 717.2,Original CG at station 296.5 and new CG at station 298.7,C,Original CG at station 715 and new CG at station 717.2,,multiple_choice,,,
24,"On a true heading of 024°, you experience a dr ift of 4° L. On a true heading of 311°, you experience a drift of 9° R. With a TAS of 310 km/hr, what are the winds aloft?",183° at 40 knots,160° at 42 knots,222° at 29 knots,005° at 35 knots,A,183° at 40 knots,,multiple_choice,,,
25,"Cruising at 0.56M with an OAT of -20°F. The altimeter setting is 29.41"" Hg and winds aloft are 210° at 44 kts. With a true course of 311°, what is the true airspeed and groundspeed?",True Airspeed = 344 knots and Groundspeed = 350 knots,True Airspeed = 338 knots and Groundspeed = 357 knots,True Airspeed = 355 knots and Groundspeed = 362 knots,True Airspeed = 363 knots and Groundspeed = 371 knots,A,True Airspeed = 344 knots and Groundspeed = 350 knots,,multiple_choice,,,
26,"Using the above information, your first choice is 34,000 feet. What is the fuel burn, for the entire flight?",9870 lbs,10510 lbs,10280 lbs,10950 lbs,B,10510 lbs,,multiple_choice,,"NIKE is interviewing you for a position flying their Gulfstream V. They are asking you some hypothetical questions to gage your response. Some background information is that you have 13,000 lbs of fuel onboard. The interviewer says for this flight the GV burns fuel at 2000 lbs/hr (above 32,000 feet) and 2200 lbs/hr (below 32,000 feet). Flying at 0.78M with the following winds aloft: [[TABLE]] You are traveling 2120 miles from Hillsboro, OR (HIO) to Honolulu, HI (HNL). The True Course from HIO to HNL is 232°.","{""headers"": [""Altitude"", ""Winds aloft code""], ""rows"": [[""24,000 feet"", ""2760-21""], [""30,000 feet"", ""2972-33""], [""34,000 feet"", ""2884-41""], [""39,000 feet"", ""2899-51""]]}"
27,"Using the above information, your next selection is to look at 36,000 feet. What is the time en route and fuel burn, for the entire flight?",Time in flight = 306 minutes and Fuel burn = 10250 lbs,Time in flight = 312 minutes and Fuel burn = 10440 lbs,Time in flight = 317 minutes and Fuel burn = 10620 lbs,Time in flight = 323 minutes and Fuel burn = 10790 lbs,D,Time in flight = 323 minutes and Fuel burn = 10790 lbs,,multiple_choice,,"NIKE is interviewing you for a position flying their Gulfstream V. They are asking you some hypothetical questions to gage your response. Some background information is that you have 13,000 lbs of fuel onboard. The interviewer says for this flight the GV burns fuel at 2000 lbs/hr (above 32,000 feet) and 2200 lbs/hr (below 32,000 feet). Flying at 0.78M with the following winds aloft: [[TABLE]] You are traveling 2120 miles from Hillsboro, OR (HIO) to Honolulu, HI (HNL). The True Course from HIO to HNL is 232°.","{""headers"": [""Altitude"", ""Winds aloft code""], ""rows"": [[""24,000 feet"", ""2760-21""], [""30,000 feet"", ""2972-33""], [""34,000 feet"", ""2884-41""], [""39,000 feet"", ""2899-51""]]}"
28,"Using the above information, you are asked to calculate a time to turn to return to base with a 45 minutes of reserve fuel? Flown at 30,000 feet.",157.5 minutes,162.0 minutes,166.5 minutes,171.5 minutes,C,166.5 minutes,,multiple_choice,,"NIKE is interviewing you for a position flying their Gulfstream V. They are asking you some hypothetical questions to gage your response. Some background information is that you have 13,000 lbs of fuel onboard. The interviewer says for this flight the GV burns fuel at 2000 lbs/hr (above 32,000 feet) and 2200 lbs/hr (below 32,000 feet). Flying at 0.78M with the following winds aloft: [[TABLE]] You are traveling 2120 miles from Hillsboro, OR (HIO) to Honolulu, HI (HNL). The True Course from HIO to HNL is 232°.","{""headers"": [""Altitude"", ""Winds aloft code""], ""rows"": [[""24,000 feet"", ""2760-21""], [""30,000 feet"", ""2972-33""], [""34,000 feet"", ""2884-41""], [""39,000 feet"", ""2899-51""]]}"
29,"You takeoff using the calculations from question 27. Just prior to the halfway point the CEO comes up to the flight deck and asks, ""What if we changed altitudes at the halfway point to 30,000 feet from 36,000 feet? Can we get there faster?"" If the change is instantaneous, you say:","Yes, we would get there 3 minutes faster.","Yes, we would get there 8 minutes faster.","Yes, we would get there 13 minutes faster.","No, we would be there 3 minutes later",C,"Yes, we would get there 13 minutes faster.",,multiple_choice,,"NIKE is interviewing you for a position flying their Gulfstream V. They are asking you some hypothetical questions to gage your response. Some background information is that you have 13,000 lbs of fuel onboard. The interviewer says for this flight the GV burns fuel at 2000 lbs/hr (above 32,000 feet) and 2200 lbs/hr (below 32,000 feet). Flying at 0.78M with the following winds aloft: [[TABLE]] You are traveling 2120 miles from Hillsboro, OR (HIO) to Honolulu, HI (HNL). The True Course from HIO to HNL is 232°. [[DIVIDER]] Referenced question 27: Using the above information, your next selection is to look at 36,000 feet. What is the time en route and fuel burn, for the entire flight?","{""headers"": [""Altitude"", ""Winds aloft code""], ""rows"": [[""24,000 feet"", ""2760-21""], [""30,000 feet"", ""2972-33""], [""34,000 feet"", ""2884-41""], [""39,000 feet"", ""2899-51""]]}"
30,"You fly for 2.5 hours out over the ocean at 34,000 feet and have to return to Hillsboro at the same altitude. The new winds on the return will be 240° at 21 knots. How much fuel will you have upon return to HIO?",5790 lbs,9120 lbs,7440 lbs,3840 lbs,D,3840 lbs,,multiple_choice,,"NIKE is interviewing you for a position flying their Gulfstream V. They are asking you some hypothetical questions to gage your response. Some background information is that you have 13,000 lbs of fuel onboard. The interviewer says for this flight the GV burns fuel at 2000 lbs/hr (above 32,000 feet) and 2200 lbs/hr (below 32,000 feet). Flying at 0.78M with the following winds aloft: [[TABLE]] You are traveling 2120 miles from Hillsboro, OR (HIO) to Honolulu, HI (HNL). The True Course from HIO to HNL is 232°.","{""headers"": [""Altitude"", ""Winds aloft code""], ""rows"": [[""24,000 feet"", ""2760-21""], [""30,000 feet"", ""2972-33""], [""34,000 feet"", ""2884-41""], [""39,000 feet"", ""2899-51""]]}"
31,442 km/hr = _______________________ knots,,,,,233 - 243 kts,233 - 243 kts,,fill_in_blank,,,
32,92 pints of oil = _______________________ liters of oil,,,,,42.4 - 44.4 liters,42.4 - 44.4 liters,,fill_in_blank,,,
33,120 Imp. Gallons of AVGAS = ____________________ kg of AVGAS,,,,,372 - 412 kg,372 - 412 kg,,fill_in_blank,,,
34,Mach 1 at +40°F = ________________________ mph true airspeed,,,,,736 - 756 mph,736 - 756 mph,,fill_in_blank,,,
35,4414 liters of AVGAS = _________________________ lbs of AVGAS,,,,,6880 - 7080 lbs,6880 - 7080 lbs,,fill_in_blank,,,
