number,question,choice_a,choice_b,choice_c,choice_d,answer_key,correct_choice,answer_key_type,question_type,choice_e,context,table,type_of_problem
11,"Julie crosses a ridge (elevation 6540 feet) at an indicated altitude of 11,500 feet. The temperature is +5°C and the altimeter setting is 29.22"", what is her true altitude?",10 750 feet,11 250 feet,11 780 feet,12 660 feet,C,11 780 feet,,multiple_choice,,,,Miscellaneous
12,"You are flying from Austin, TX to San Antonio, TX (213 nautical miles). You only want to burn 36 U.S. Gallons of Avgas to and from San Antonio. The fuel burn rates and groundspeed are as follows. [[TABLE]] Which altitude will give you the desired result?",All the altitudes will work,8500 feet and 10500 feet will work,None of the altitudes will work,10500 feet only,D,10500 feet only,,multiple_choice,,,"{""type"":""table"",""headers"":[""Altitude"",""Fuel Burn"",""Groundspeed Out"",""Groundspeed Back""],""rows"":[[""4500 feet"",""12.9 US gph"",""126 knots to"",""126 knots return""],[""6500 feet"",""11.8 US gph"",""119 knots to"",""119 knots return""],[""8500 feet"",""10.7 US gph"",""123 knots to"",""123 knots return""],[""10500 feet"",""9.4 US gph"",""97 knots to"",""141 knots return""]]}",Fuel burn / fuel required
13,"At a climb rate of 400 feet per statute mile or 1300 feet per minute, what is your groundspeed?",195 knots,187 knots,178 knots,169 knots,D,169 knots,,multiple_choice,,,,Climb gradient
14,"You find yourself.28"" aft of CG. You decide to move some bags from the aft bag compartment, station 131"" to the rear seat, station 95"". How much weight will you have to move if the aircraft weighs 5167 lbs?",41 lbs,44 lbs,37 lbs,35 lbs,A,41 lbs,,multiple_choice,,,,Weight shift
15,"Your current CG is 193.5 cm. The forward CG limit is 195 cm. If your aircraft weighs 1409 kg, how much weight will you need to remove from station 230 cm in order to you within CG?",63 kg,60 kg,57 kg,55 kg,B,60 kg,,multiple_choice,,,,Weight change
16,"Your aircraft currently weighs 2140 kg and your CG is 92.1"". If you add 22 kg to station 74"" what will be your new CG?",92.3,91.7,91.9,92.5,C,91.9,,multiple_choice,,,,Weight change
17,You're 2.3 inches forward of your forward CG limit of 83 inches. You decide to remove 34 lbs from station 59 in order to bring you within CG. What is your new weight?,311 lbs,321 lbs,339 lbs,355 lbs,B,321 lbs,,multiple_choice,,,,Weight change
18,"You need to move your CG back.34"". Your aircraft weighs 2412 lbs and you decide to move 33 lbs from station 78"". Where will you end up putting that 33 lbs?",Station 24,Station 57,Station 81,Station 103,D,Station 103,,multiple_choice,,,,Weight shift
19,"You've decided to live on the edge and fly an out and back course landing at your departure airport without any fuel left. Currently there is forty three gallons of fuel in your tanks, you burn 8.3 GPH, and there is a low-level jet out of the southeast at forty five knots. [[NEXT_LINE]] TAS = 103 and True Course is 083. [[NEXT_LINE]] How far out do you go before turning back?",245 nm,249 nm,253 nm,257 nm,B,249 nm,,multiple_choice,,,,Radius of action
20,"What is the headwind component for takeoff given the following info. Rwy 03 (030°), METAR winds of 090° True @ 14 knots, elevation 2992 ft, and variation 13W.",0,2,4,6,C,4,,multiple_choice,,,,Wind correction
21,What's the crosswind component?,7,9,11,14,D,14,,multiple_choice,,"Referenced question 20: What is the headwind component for takeoff given the following info. Rwy 03 (030°), METAR winds of 090° True @ 14 knots, elevation 2992 ft, and variation 13W.",,Crosswind component
22,Where would the nose be pointing during initial climb if you tracked runway heading. Note: [[NEXT_LINE]] TAS = 70 kts.,41,44,47,50,A,41,,multiple_choice,,"Referenced question 20: What is the headwind component for takeoff given the following info. Rwy 03 (030°), METAR winds of 090° True @ 14 knots, elevation 2992 ft, and variation 13W.",,Wind correction
23,"If you depart a runway at 4500 ft MSL that is 3800 ft long, what is your TAS at rotation if you indicate 63 kts when you pull back on the stick? Altimeter setting is 30.34 and the temp is 64°F.",66,68,70,72,B,68,,multiple_choice,,,,Airspeed / Mach
24,876540 seconds is the same as:,365 days,14690 minutes,23 hours 45 minutes,10 days 3 hours 29 minutes,D,10 days 3 hours 29 minutes,,multiple_choice,,,,Time problems with hours/min/sec
25,"If the field elevation at KAVL is 2165', the current temperature is 80°F and the altimeter setting is 29.67, what is the density altitude?",1933',2398',3693',4260',D,4260',,multiple_choice,,,,Density altitude
26,"What is the % mean aerodynamic chord (%MAC) if the leading edge mean aerodynamic chord (LEMAC) is 150.5, the center of gravity (CG) is 180.0 and the mean aerodynamic chord (MAC) is 115.2?",76.50%,43.10%,25.60%,19.60%,C,25.60%,,multiple_choice,,,,CG in % MAC
27,"In cruise flight at Flight Level 220, the outside air temperature is -22°C, if you are cruising at 0.545 Mach, how long will it take to fly 437 sm (assuming no winds)?",35:06:00,1:07:40,1:18:05,1:54:44,B,1:07:40,,multiple_choice,,,,Time problems with hours/min/sec
28,"What is the true airspeed if you are cruising at 8500', with an indicated airspeed of 115 kts, an outside air temperature of 50°F and an altimeter setting of 30.33?",132 kts,136 kts,142 kts,154 kts,A,132 kts,,multiple_choice,,,,Airspeed / Mach
29,You are inbound on the CLT 315° radial with a TAS of 102 mph. What are the winds aloft if you have a groundspeed of 124 mph and are holding 7° right correction?,106@23 kts,163@26 kts,286@23 kts,343@26 kts,C,286@23 kts,,multiple_choice,,,,Wind correction
30,Maximum operating airspeed (Vmo) for the de Havilland DHC-8-201 at 14000' is 242 kts. Maximum operating airspeed (Vmo) for the de Havilland DHC-8-201 at 15000' is 239 kts. Maximum operating airspeed (Vmo) for the de Havilland DHC-8-201 at 20000' is 223 kts. What would you expect Vmo to be at 25000'?,203 kts,207 kts,212 kts,220 kts,B,207 kts,,multiple_choice,,,,Miscellaneous
31,"Landing on Runway 3, the tower reports wind as 140@12 kts. What is your crosswind component?",4.1 kts,6.8 kts,9.4 kts,11.3 kts,D,11.3 kts,,multiple_choice,,,,Crosswind component
32,"Departing Runway 34 at KAVL, field elevation 2165' MSL, you follow the Asheville One Departure procedure that requires a 300' per nm climb gradient to 4800' MSL. If you hold the climb rate of 300' per nm and it takes you 6 minutes 12 seconds to reach 4800' MSL, what is your goundspeed?",48.7 mph,85.0 mph,97.8 mph,154.6 mph Use the following information for questions 33 and 34. Winds: 3000 6000 9000 12000 0000 3612 2718 1830 TAS = 168 mph TRUE COURSE = 042° VAR = 4° WEST Fuel on board = 207 pounds Fuel burn = 14.6 gph,C,97.8 mph,,multiple_choice,,,,Climb gradient
33,"What altitude will allow you to fly the furthest, then return to your starting point?",3000',6000',9000',12000',A,3000',,multiple_choice,,Use the following information for questions 33 and 34. [[TABLE]],"{""type"":""table"",""headers"":[""Altitude"",""Wind""],""rows"":[[""3000"",""0000""],[""6000"",""3612""],[""9000"",""2718""],[""12000"",""1830""]],""notes"":[""TAS = 168 mph"",""TRUE COURSE = 042°"",""VAR = 4° WEST"",""Fuel on board = 207 pounds"",""Fuel burn = 14.6 gph""]}",Radius of action
34,What is the furthest distance will you be able to fly and return to the starting point?,148.5 sm,172.5 sm,198.5 sm,224.5 sm,C,198.5 sm,,multiple_choice,,Use the following information for questions 33 and 34. [[TABLE]],"{""type"":""table"",""headers"":[""Altitude"",""Wind""],""rows"":[[""3000"",""0000""],[""6000"",""3612""],[""9000"",""2718""],[""12000"",""1830""]],""notes"":[""TAS = 168 mph"",""TRUE COURSE = 042°"",""VAR = 4° WEST"",""Fuel on board = 207 pounds"",""Fuel burn = 14.6 gph""]}",Radius of action
35,"Flying direct from Tokyo to San Fransisco at Flight Level 410, the DME shows you are at 88.5 nm from San Fransisco. Directly below is a ship that is 88.0 nm from San Fransisco, how many nautical miles above the earth's surface are you?",5.56 nm,6.74 nm,7.76 nm,9.15 nm,B,6.74 nm,,multiple_choice,,,,Miscellaneous
36,20°C = ____ °F,,,,,68°F (+/- 0),68°F (+/- 0),,fill_in_blank,,,,Conversions
37,621.4 sm = ______ km,,,,,1000 km (+/- 2),1000 km (+/- 2),,fill_in_blank,,,,Conversions
38,100 meters = ______ yards,,,,,109.4 yds (+/- 1.0),109.4 yds (+/- 1.0),,fill_in_blank,,,,Conversions
39,417 liters of Avgas = _____________ kg of Avgas,,,,,304 kg (+/- 5),304 kg (+/- 5),,fill_in_blank,,,,Conversions
40,100 pounds of oil = ______________ quarts of oil,,,,,53.4 qts (+/- 1.0),53.4 qts (+/- 1.0),,fill_in_blank,,,,Conversions
